run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1599.0,591.0,571.0,414.0,1588.0,834.0,73.0,1004.0,1262.0,250.0,1031.0,370.0,72.0,642.0,1514.0,155.0,699.0,971.0,1561.0,1603.0,1168.0,1345.0,1655.0,1083.0,1622.0
740.0,647.0,344.0,647.0,795.0,370.0,1030.0,961.0,369.0,1636.0,684.0,831.0,495.0,683.0,1023.0,370.0,1002.0,852.0,422.0,1619.0,1514.0,699.0,1503.0,287.0,1321.0
1304.0,1541.0,597.0,836.0,370.0,699.0,834.0,794.0,1592.0,831.0,1468.0,1323.0,512.0,133.0,296.0,938.0,1093.0,892.0,549.0,39.0,1167.0,1167.0,1074.0,1503.0,255.0
783.0,826.0,657.0,1126.0,1270.0,740.0,1655.0,597.0,1415.0,1588.0,296.0,330.0,1603.0,257.0,1570.0,834.0,1087.0,1362.0,502.0,258.0,1639.0,1653.0,971.0,998.0,1075.0
1083.0,1588.0,250.0,1659.0,1296.0,512.0,1541.0,1660.0,1639.0,591.0,1087.0,1369.0,1345.0,1362.0,837.0,1321.0,1620.0,1074.0,71.0,792.0,1031.0,571.0,1619.0,1028.0,795.0
683.0,195.0,65.0,65.0,1083.0,1588.0,836.0,1270.0,370.0,1659.0,833.0,571.0,1031.0,1503.0,969.0,647.0,1075.0,1140.0,1168.0,830.0,1622.0,287.0,1231.0,787.0,1636.0
133.0,892.0,73.0,257.0,364.0,323.0,663.0,969.0,39.0,261.0,1541.0,1624.0,344.0,1592.0,1083.0,1181.0,779.0,258.0,857.0,1078.0,1083.0,1621.0,250.0,857.0,663.0
72.0,437.0,1594.0,938.0,394.0,571.0,795.0,1369.0,1323.0,833.0,1112.0,1262.0,1181.0,830.0,73.0,1481.0,834.0,657.0,736.0,1514.0,1603.0,261.0,837.0,1622.0,258.0
969.0,1078.0,826.0,772.0,909.0,1029.0,71.0,1075.0,842.0,502.0,830.0,549.0,1075.0,1231.0,1323.0,836.0,1487.0,287.0,33.0,1660.0,1075.0,1237.0,642.0,1569.0,1621.0
1468.0,255.0,795.0,942.0,73.0,1345.0,1237.0,1654.0,1504.0,1653.0,1004.0,740.0,195.0,1074.0,1627.0,463.0,394.0,884.0,400.0,1087.0,1304.0,250.0,736.0,827.0,787.0
838.0,1511.0,345.0,648.0,247.0,1634.0,1648.0,1659.0,72.0,648.0,73.0,133.0,170.0,1654.0,1538.0,648.0,820.0,1654.0,971.0,1659.0,73.0,1633.0,1648.0,1633.0,175.0
1511.0,1612.0,242.0,382.0,242.0,1633.0,1391.0,1656.0,170.0,938.0,243.0,838.0,345.0,1323.0,170.0,382.0,1294.0,1659.0,1639.0,1654.0,243.0,646.0,1391.0,66.0,1557.0
1594.0,1621.0,1031.0,261.0,1031.0,1631.0,1660.0,1362.0,1215.0,382.0,242.0,684.0,1619.0,1656.0,1031.0,261.0,1619.0,1633.0,683.0,1656.0,683.0,1612.0,1660.0,921.0,1556.0
376.0,1353.0,133.0,491.0,920.0,287.0,1645.0,1658.0,1030.0,1654.0,920.0,1029.0,1620.0,1659.0,920.0,1612.0,1051.0,1656.0,1028.0,1362.0,242.0,1353.0,1645.0,1505.0,492.0
1030.0,1613.0,685.0,1654.0,243.0,491.0,243.0,334.0,65.0,1660.0,683.0,1633.0,1294.0,1660.0,247.0,1621.0,288.0,1660.0,72.0,1051.0,920.0,1613.0,1653.0,1644.0,1635.0
271.0,646.0,683.0,1656.0,1322.0,1555.0,1031.0,1653.0,133.0,1649.0,247.0,287.0,1051.0,1658.0,1322.0,43.0,323.0,1658.0,133.0,1658.0,247.0,647.0,1654.0,70.0,1633.0
