run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
846.0,1108.0,958.0,1142.0,342.0,916.0,511.0,958.0,1129.0,1143.0,796.0,991.0,605.0,906.0,139.0,935.0,1101.0,570.0,1000.0,1078.0,905.0,1079.0,812.0,98.0,882.0
1095.0,905.0,735.0,1195.0,91.0,922.0,362.0,1117.0,590.0,98.0,1027.0,91.0,953.0,701.0,381.0,1068.0,1067.0,1021.0,1167.0,1135.0,1008.0,1165.0,857.0,1171.0,1187.0
1101.0,922.0,570.0,101.0,513.0,1078.0,13.0,1038.0,372.0,570.0,915.0,1181.0,542.0,347.0,1165.0,338.0,1050.0,338.0,1195.0,560.0,655.0,663.0,1142.0,1068.0,347.0
156.0,1193.0,1000.0,1173.0,362.0,1173.0,591.0,1008.0,916.0,995.0,1053.0,179.0,1127.0,1035.0,1087.0,953.0,139.0,1053.0,750.0,91.0,1129.0,967.0,995.0,512.0,1079.0
1115.0,1016.0,915.0,1131.0,391.0,372.0,654.0,1142.0,1067.0,249.0,1123.0,362.0,1053.0,1067.0,812.0,1186.0,987.0,1186.0,796.0,967.0,1189.0,1087.0,1062.0,439.0,1035.0
481.0,812.0,91.0,104.0,735.0,749.0,1000.0,1068.0,1135.0,831.0,735.0,1004.0,1167.0,858.0,1117.0,156.0,1143.0,983.0,1078.0,1008.0,991.0,511.0,605.0,1021.0,715.0
139.0,605.0,512.0,922.0,101.0,1027.0,1129.0,101.0,987.0,443.0,1038.0,13.0,715.0,1027.0,654.0,1035.0,342.0,511.0,915.0,1167.0,101.0,139.0,991.0,1189.0,179.0
249.0,1045.0,930.0,513.0,512.0,750.0,930.0,922.0,1170.0,1021.0,1170.0,663.0,82.0,341.0,846.0,1075.0,542.0,362.0,511.0,1123.0,906.0,749.0,915.0,1188.0,989.0
796.0,846.0,13.0,1181.0,1045.0,672.0,958.0,1101.0,591.0,967.0,846.0,935.0,983.0,952.0,953.0,1127.0,894.0,1167.0,701.0,362.0,82.0,1181.0,91.0,1101.0,858.0
1075.0,1123.0,347.0,372.0,439.0,249.0,935.0,1148.0,82.0,1108.0,91.0,915.0,338.0,1047.0,1171.0,1135.0,915.0,1047.0,1171.0,591.0,858.0,953.0,967.0,858.0,91.0
901.0,941.0,1100.0,1027.0,842.0,627.0,902.0,1027.0,1053.0,1034.0,908.0,979.0,714.0,1135.0,996.0,1078.0,933.0,1024.0,1023.0,1149.0,1047.0,1034.0,979.0,1170.0,917.0
941.0,1029.0,1023.0,919.0,515.0,336.0,1100.0,842.0,1047.0,673.0,979.0,1104.0,,502.0,1079.0,173.0,979.0,732.0,953.0,1021.0,1053.0,1014.0,1104.0,441.0,507.0
