run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
891.0,758.0,860.0,792.0,627.0,907.0,242.0,502.0,867.0,401.0,360.0,106.0,98.0,314.0,1021.0,104.0,106.0,840.0,918.0,848.0,77.0,437.0,65.0,915.0,106.0
107.0,360.0,817.0,983.0,192.0,107.0,436.0,996.0,840.0,861.0,289.0,364.0,686.0,627.0,686.0,965.0,459.0,192.0,930.0,1007.0,933.0,945.0,469.0,512.0,155.0
818.0,800.0,629.0,80.0,289.0,222.0,930.0,726.0,581.0,821.0,995.0,225.0,537.0,133.0,294.0,435.0,930.0,848.0,378.0,192.0,301.0,224.0,907.0,438.0,472.0
65.0,640.0,292.0,77.0,909.0,242.0,61.0,986.0,944.0,436.0,401.0,962.0,217.0,436.0,459.0,224.0,917.0,986.0,515.0,218.0,63.0,502.0,301.0,956.0,384.0
248.0,378.0,192.0,930.0,65.0,646.0,516.0,438.0,516.0,763.0,155.0,296.0,224.0,155.0,1007.0,129.0,98.0,106.0,314.0,65.0,472.0,242.0,373.0,917.0,512.0
983.0,515.0,248.0,917.0,758.0,516.0,1010.0,437.0,360.0,289.0,965.0,755.0,755.0,956.0,377.0,364.0,886.0,995.0,792.0,435.0,515.0,512.0,133.0,1021.0,222.0
1021.0,569.0,65.0,384.0,870.0,403.0,296.0,755.0,133.0,537.0,221.0,459.0,384.0,686.0,65.0,861.0,462.0,218.0,373.0,870.0,65.0,965.0,930.0,870.0,153.0
98.0,917.0,293.0,537.0,222.0,569.0,192.0,907.0,63.0,257.0,437.0,1003.0,930.0,515.0,886.0,821.0,686.0,69.0,459.0,686.0,438.0,918.0,403.0,787.0,248.0
192.0,301.0,294.0,242.0,153.0,293.0,515.0,153.0,848.0,68.0,758.0,917.0,155.0,787.0,242.0,1021.0,314.0,787.0,629.0,930.0,848.0,364.0,1021.0,840.0,469.0
909.0,624.0,153.0,133.0,995.0,755.0,933.0,512.0,217.0,435.0,68.0,629.0,104.0,106.0,462.0,296.0,569.0,314.0,437.0,758.0,360.0,915.0,945.0,289.0,944.0
802.0,932.0,455.0,459.0,1006.0,986.0,98.0,402.0,436.0,314.0,314.0,801.0,462.0,892.0,997.0,131.0,758.0,405.0,802.0,585.0,758.0,402.0,807.0,933.0,221.0
612.0,933.0,295.0,932.0,585.0,405.0,519.0,686.0,758.0,585.0,222.0,932.0,581.0,373.0,402.0,36.0,932.0,558.0,401.0,222.0,222.0,583.0,221.0,98.0,98.0
12.0,98.0,503.0,454.0,435.0,402.0,131.0,931.0,892.0,36.0,755.0,373.0,448.0,931.0,238.0,289.0,933.0,891.0,838.0,289.0,1006.0,686.0,787.0,932.0,807.0
650.0,1008.0,208.0,938.0,36.0,436.0,986.0,558.0,970.0,1006.0,435.0,98.0,314.0,891.0,104.0,462.0,402.0,758.0,224.0,804.0,787.0,931.0,99.0,936.0,289.0
704.0,1004.0,687.0,238.0,787.0,289.0,558.0,436.0,912.0,839.0,585.0,131.0,289.0,402.0,436.0,460.0,916.0,516.0,935.0,787.0,931.0,436.0,121.0,758.0,22.0
803.0,36.0,814.0,99.0,686.0,686.0,405.0,405.0,986.0,217.0,36.0,224.0,402.0,585.0,460.0,448.0,931.0,1007.0,988.0,402.0,686.0,43.0,910.0,686.0,758.0
