run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1039.0,760.0,827.0,3542.0,2409.0,3151.0,3628.0,3327.0,3605.0,2894.0,1398.0,2468.0,2268.0,3151.0,2652.0,2996.0,1872.0,2199.0,2414.0,1192.0,66.0,2059.0,1564.0,1330.0,1968.0
2874.0,2186.0,315.0,121.0,687.0,1823.0,1297.0,2814.0,1872.0,2866.0,1859.0,3884.0,2491.0,445.0,461.0,688.0,3287.0,351.0,850.0,1395.0,3530.0,503.0,1859.0,2051.0,167.0
649.0,3531.0,2179.0,2893.0,35.0,3858.0,96.0,2878.0,620.0,917.0,2208.0,3885.0,760.0,1420.0,1859.0,2050.0,2074.0,2099.0,458.0,1285.0,1057.0,3221.0,2996.0,3036.0,1856.0
1475.0,1072.0,3120.0,2874.0,639.0,3008.0,2043.0,3592.0,2893.0,22.0,2945.0,2854.0,21.0,599.0,21.0,620.0,1511.0,736.0,138.0,3252.0,3838.0,2876.0,3327.0,2852.0,1386.0
3272.0,2029.0,3484.0,1968.0,2974.0,3120.0,1671.0,559.0,0.0,3180.0,713.0,3077.0,3385.0,2652.0,2852.0,3252.0,3011.0,620.0,868.0,2892.0,123.0,1432.0,2414.0,3542.0,687.0
3582.0,1941.0,207.0,1368.0,898.0,3567.0,3510.0,3870.0,687.0,1536.0,1684.0,1536.0,3407.0,37.0,503.0,2649.0,2059.0,154.0,2613.0,2022.0,2277.0,2560.0,2759.0,2622.0,1050.0
2248.0,713.0,646.0,2878.0,3886.0,1968.0,514.0,275.0,3327.0,851.0,209.0,2268.0,1905.0,1962.0,3757.0,2970.0,3327.0,1965.0,21.0,3763.0,1672.0,3077.0,514.0,2823.0,1672.0
3316.0,818.0,3267.0,3272.0,2896.0,3628.0,2287.0,585.0,2043.0,1304.0,625.0,154.0,2199.0,917.0,3542.0,2946.0,2085.0,2050.0,275.0,3445.0,350.0,412.0,1941.0,1521.0,280.0
1845.0,736.0,1520.0,2585.0,3073.0,1520.0,1050.0,899.0,27.0,1941.0,3636.0,2946.0,2586.0,2805.0,154.0,2896.0,1395.0,3060.0,1677.0,1965.0,3607.0,809.0,442.0,3592.0,710.0
3385.0,3885.0,2183.0,1469.0,458.0,458.0,3276.0,1395.0,1558.0,559.0,2805.0,3910.0,1178.0,955.0,1148.0,1845.0,1778.0,2980.0,3165.0,218.0,2287.0,121.0,2874.0,3582.0,3857.0
