run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
265.0,182.0,208.0,137.0,267.0,445.0,40.0,288.0,23.0,367.0,38.0,143.0,147.0,299.0,66.0,66.0,215.0,75.0,221.0,208.0,75.0,375.0,14.0,208.0,166.0
338.0,105.0,124.0,33.0,407.0,170.0,481.0,490.0,83.0,434.0,124.0,482.0,70.0,170.0,192.0,56.0,496.0,70.0,189.0,189.0,214.0,37.0,318.0,401.0,33.0
2.0,78.0,78.0,78.0,29.0,79.0,360.0,360.0,254.0,304.0,2.0,227.0,6.0,474.0,51.0,2.0,3.0,304.0,29.0,97.0,382.0,438.0,2.0,400.0,2.0
339.0,54.0,142.0,4.0,16.0,49.0,16.0,339.0,322.0,332.0,162.0,455.0,20.0,497.0,162.0,162.0,350.0,290.0,321.0,176.0,54.0,311.0,501.0,376.0,429.0
462.0,347.0,347.0,417.0,344.0,238.0,347.0,412.0,402.0,418.0,460.0,403.0,139.0,414.0,346.0,462.0,485.0,402.0,403.0,107.0,414.0,107.0,240.0,462.0,403.0
102.0,180.0,427.0,441.0,209.0,204.0,275.0,204.0,275.0,449.0,397.0,275.0,274.0,274.0,397.0,204.0,141.0,275.0,337.0,99.0,257.0,424.0,257.0,204.0,424.0
46.0,368.0,316.0,315.0,232.0,272.0,249.0,451.0,391.0,252.0,104.0,323.0,216.0,251.0,269.0,316.0,174.0,81.0,298.0,22.0,81.0,315.0,381.0,443.0,8.0
140.0,13.0,349.0,406.0,372.0,406.0,404.0,372.0,413.0,349.0,60.0,60.0,329.0,140.0,349.0,195.0,13.0,169.0,349.0,60.0,336.0,349.0,349.0,372.0,169.0
220.0,475.0,256.0,331.0,256.0,475.0,456.0,450.0,333.0,117.0,286.0,256.0,226.0,128.0,439.0,456.0,475.0,256.0,128.0,333.0,128.0,450.0,220.0,253.0,456.0
259.0,11.0,432.0,131.0,366.0,366.0,431.0,259.0,327.0,341.0,119.0,201.0,160.0,447.0,325.0,341.0,366.0,237.0,196.0,250.0,393.0,503.0,341.0,154.0,43.0
160.0,272.0,368.0,460.0,135.0,229.0,342.0,489.0,362.0,43.0,425.0,420.0,259.0,494.0,391.0,169.0,391.0,196.0,259.0,422.0,27.0,497.0,196.0,43.0,259.0
