targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.04,0.19595917942265428,2.0,1.0,1.3639896373056994
7.1,1.04,0.19595917942265428,2.0,1.0,1.4307065217391304
7.2,1.04,0.19595917942265428,2.0,1.0,1.4957386363636365
7.3,1.12,0.3249615361854385,2.0,1.0,1.5834586466165415
7.4,1.2,0.4,2.0,1.0,1.714983713355049
7.5,1.2,0.4,2.0,1.0,1.7938671209540034
7.6,1.2,0.4,2.0,1.0,1.8803571428571428
7.7,1.28,0.5306599664568641,3.0,1.0,2.0172413793103448
7.8,1.32,0.5455272678794343,3.0,1.0,2.1272727272727274
7.9,1.4,0.632455532033676,3.0,1.0,2.2452025586353943
8.0,1.64,0.7939773296511682,4.0,1.0,2.3609865470852016
8.1,1.88,1.032279032045115,5.0,1.0,2.713917525773196
8.2,2.08,1.197330363767661,5.0,1.0,2.9008264462809916
8.3,2.24,1.422111106770494,5.0,1.0,3.24
8.4,3.16,2.5088642848906755,10.0,1.0,4.11328125
8.5,3.76,2.7170572316386714,10.0,1.0,4.245967741935484
8.6,5.0,3.655133376499413,13.0,1.0,5.086956521739131
8.7,6.44,4.099560952102066,17.0,1.0,6.622641509433962
8.8,8.36,4.16538113502234,17.0,2.0,8.2265625
8.9,10.16,4.557894250638117,18.0,2.0,11.571428571428571
9.0,11.48,4.8671963182103095,19.0,2.0,16.983870967741936
9.1,16.24,8.410850135390596,34.0,2.0,36.310344827586206
9.2,19.24,8.203803995708332,34.0,9.0,70.2
9.3,36.16,25.001887928714506,101.0,9.0,131.625
9.4,106.72,49.99801596063588,174.0,9.0,263.25
9.5,138.96,17.709839073238356,174.0,96.0,351.0
9.6,138.96,17.709839073238356,174.0,96.0,526.5
9.7,138.96,17.709839073238356,174.0,96.0,526.5
9.8,138.96,17.709839073238356,174.0,96.0,526.5
9.9,138.96,17.709839073238356,174.0,96.0,526.5
10.0,138.96,17.709839073238356,174.0,96.0,526.5
10.0,138.96,17.709839073238356,174.0,96.0,526.5
