run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
719.0,158.0,700.0,1397.0,498.0,1377.0,1703.0,744.0,1335.0,1554.0,1110.0,786.0,1310.0,1332.0,464.0,1045.0,701.0,471.0,1219.0,407.0,1377.0,894.0,1520.0,392.0,1588.0
691.0,1647.0,270.0,421.0,690.0,1436.0,1414.0,1144.0,1669.0,1496.0,1599.0,1441.0,434.0,692.0,1484.0,232.0,1658.0,1669.0,353.0,1658.0,1487.0,970.0,91.0,1604.0,1013.0
1307.0,474.0,1166.0,1334.0,1311.0,1204.0,1036.0,824.0,1082.0,1307.0,601.0,909.0,271.0,405.0,474.0,212.0,1334.0,601.0,1329.0,1307.0,601.0,189.0,1108.0,1080.0,775.0
1064.0,347.0,347.0,722.0,1085.0,1049.0,516.0,293.0,737.0,264.0,659.0,1446.0,1354.0,49.0,1320.0,887.0,298.0,1287.0,1050.0,57.0,1229.0,240.0,441.0,118.0,789.0
1687.0,322.0,539.0,1479.0,146.0,422.0,1603.0,555.0,309.0,539.0,623.0,736.0,193.0,568.0,623.0,619.0,1685.0,1348.0,1428.0,1440.0,623.0,802.0,309.0,859.0,146.0
1607.0,1641.0,1062.0,1635.0,1635.0,1636.0,510.0,1535.0,1731.0,1584.0,595.0,1612.0,46.0,1537.0,305.0,1612.0,1609.0,479.0,1261.0,1640.0,297.0,1565.0,337.0,510.0,1672.0
88.0,964.0,522.0,1689.0,364.0,72.0,63.0,168.0,1460.0,167.0,72.0,697.0,320.0,1655.0,1516.0,1501.0,1705.0,203.0,1653.0,1147.0,505.0,597.0,95.0,69.0,67.0
674.0,614.0,1257.0,711.0,1254.0,1200.0,414.0,261.0,1382.0,1257.0,345.0,955.0,157.0,98.0,1257.0,711.0,1304.0,136.0,98.0,98.0,1114.0,398.0,1382.0,1382.0,1169.0
1404.0,872.0,1614.0,885.0,743.0,1367.0,1135.0,258.0,612.0,1521.0,1544.0,1097.0,863.0,1340.0,911.0,768.0,932.0,252.0,1616.0,148.0,768.0,747.0,652.0,84.0,1367.0
699.0,40.0,603.0,1151.0,1675.0,989.0,389.0,1514.0,987.0,1536.0,792.0,529.0,1513.0,1162.0,371.0,822.0,924.0,1424.0,370.0,603.0,792.0,990.0,791.0,833.0,1148.0
1465.0,1473.0,1010.0,1465.0,734.0,1685.0,1440.0,1434.0,985.0,1409.0,1707.0,1707.0,1461.0,1426.0,1707.0,1010.0,695.0,1707.0,1721.0,1010.0,1707.0,1707.0,883.0,229.0,732.0
540.0,1707.0,1685.0,312.0,99.0,1688.0,526.0,1698.0,1595.0,1685.0,1595.0,1473.0,67.0,1438.0,855.0,957.0,540.0,312.0,1434.0,732.0,1430.0,855.0,985.0,1440.0,229.0
695.0,883.0,883.0,1684.0,883.0,1656.0,1434.0,323.0,480.0,664.0,734.0,957.0,725.0,664.0,734.0,331.0,539.0,1684.0,664.0,1600.0,424.0,883.0,1617.0,1698.0,1601.0
964.0,1465.0,424.0,539.0,732.0,1413.0,732.0,566.0,,1410.0,1465.0,331.0,695.0,193.0,1617.0,481.0,200.0,860.0,1438.0,734.0,695.0,1465.0,170.0,1601.0,826.0
568.0,67.0,623.0,1348.0,826.0,566.0,566.0,1412.0,,1438.0,807.0,481.0,1656.0,1410.0,732.0,1350.0,881.0,526.0,1410.0,229.0,734.0,229.0,1410.0,418.0,323.0
193.0,64.0,1427.0,985.0,323.0,1601.0,229.0,807.0,,1697.0,1440.0,360.0,975.0,1697.0,1600.0,1534.0,568.0,1440.0,1697.0,826.0,1427.0,732.0,664.0,826.0,1483.0
1707.0,1434.0,193.0,193.0,229.0,732.0,826.0,734.0,,232.0,1419.0,1535.0,312.0,1443.0,1412.0,375.0,1428.0,229.0,975.0,1483.0,1410.0,1440.0,1438.0,734.0,418.0
1426.0,360.0,1430.0,170.0,1601.0,1440.0,323.0,957.0,,1698.0,732.0,480.0,1186.0,697.0,322.0,480.0,422.0,826.0,193.0,323.0,664.0,323.0,1698.0,733.0,1440.0
539.0,1412.0,736.0,1464.0,418.0,323.0,1483.0,1536.0,,193.0,1600.0,,170.0,891.0,99.0,,433.0,323.0,360.0,860.0,732.0,734.0,1464.0,593.0,593.0
1413.0,734.0,734.0,1477.0,593.0,593.0,193.0,481.0,,1440.0,1482.0,,883.0,1561.0,1466.0,,966.0,732.0,1652.0,526.0,1440.0,418.0,1416.0,323.0,733.0
1474.0,807.0,807.0,67.0,322.0,418.0,418.0,1679.0,,732.0,229.0,,522.0,541.0,1440.0,,434.0,1483.0,1464.0,418.0,322.0,733.0,169.0,1483.0,526.0
1688.0,99.0,99.0,309.0,1440.0,733.0,733.0,733.0,,1600.0,341.0,,1649.0,1483.0,1482.0,,725.0,418.0,985.0,733.0,1684.0,1601.0,734.0,526.0,1688.0
1721.0,1600.0,1562.0,853.0,526.0,826.0,859.0,1562.0,,566.0,418.0,,142.0,1600.0,229.0,,596.0,566.0,1681.0,1484.0,1479.0,593.0,322.0,193.0,860.0
433.0,732.0,732.0,1186.0,733.0,734.0,555.0,64.0,,146.0,1562.0,,1409.0,1484.0,526.0,,1687.0,733.0,168.0,1622.0,1348.0,1721.0,1684.0,322.0,734.0
966.0,1440.0,1440.0,1413.0,539.0,229.0,1601.0,1641.0,,1601.0,733.0,,985.0,1475.0,826.0,,480.0,734.0,437.0,566.0,229.0,566.0,1348.0,732.0,566.0
732.0,229.0,1482.0,1688.0,860.0,555.0,593.0,331.0,,826.0,826.0,,1464.0,985.0,418.0,,,1479.0,1601.0,593.0,539.0,826.0,1697.0,555.0,555.0
1466.0,481.0,322.0,422.0,1562.0,1479.0,322.0,145.0,,1483.0,1483.0,,800.0,734.0,733.0,,,555.0,566.0,146.0,860.0,146.0,193.0,566.0,1348.0
1709.0,418.0,1412.0,963.0,1483.0,1483.0,146.0,480.0,,229.0,1601.0,,1466.0,1707.0,1601.0,,,193.0,323.0,1601.0,526.0,424.0,589.0,860.0,417.0
963.0,424.0,1602.0,1722.0,566.0,193.0,419.0,,,418.0,1561.0,,1430.0,144.0,1483.0,,,593.0,146.0,322.0,418.0,1483.0,1477.0,1561.0,1687.0
1685.0,1562.0,566.0,1687.0,555.0,146.0,417.0,,,733.0,526.0,,589.0,1599.0,1562.0,,,1601.0,826.0,555.0,566.0,555.0,1427.0,146.0,1603.0
198.0,733.0,418.0,424.0,193.0,322.0,1467.0,,,1484.0,1719.0,,313.0,594.0,593.0,,,322.0,734.0,1603.0,1601.0,860.0,1412.0,1603.0,859.0
881.0,1497.0,733.0,433.0,1602.0,434.0,860.0,,,555.0,860.0,,1740.0,1657.0,566.0,,,859.0,1483.0,417.0,733.0,526.0,1440.0,417.0,1433.0
