run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1144.0,879.0,887.0,398.0,98.0,864.0,1120.0,1334.0,1244.0,186.0,959.0,163.0,903.0,1320.0,587.0,594.0,1181.0,1068.0,999.0,1324.0,1014.0,1190.0,1321.0,1312.0,392.0
988.0,869.0,899.0,1069.0,401.0,883.0,874.0,1185.0,1076.0,78.0,884.0,617.0,1188.0,1190.0,496.0,107.0,968.0,1073.0,1331.0,54.0,883.0,109.0,1167.0,496.0,892.0
593.0,1120.0,1189.0,898.0,962.0,1188.0,1075.0,1152.0,1168.0,991.0,878.0,888.0,883.0,1185.0,1117.0,590.0,988.0,1334.0,906.0,1315.0,987.0,874.0,1077.0,78.0,999.0
112.0,98.0,98.0,884.0,884.0,186.0,899.0,1188.0,987.0,988.0,1188.0,1174.0,642.0,1102.0,1146.0,892.0,343.0,1102.0,1068.0,1075.0,884.0,1068.0,1030.0,1186.0,596.0
1168.0,966.0,1188.0,107.0,1311.0,1076.0,594.0,1321.0,877.0,903.0,1320.0,1312.0,1190.0,991.0,1323.0,1185.0,1017.0,13.0,876.0,879.0,13.0,883.0,1329.0,1077.0,1117.0
880.0,1187.0,78.0,889.0,1314.0,505.0,891.0,968.0,840.0,943.0,1174.0,1167.0,1312.0,1041.0,891.0,1311.0,1183.0,1188.0,1023.0,1185.0,1069.0,571.0,617.0,186.0,891.0
959.0,902.0,1074.0,590.0,54.0,906.0,13.0,1015.0,1328.0,112.0,904.0,1075.0,199.0,879.0,596.0,900.0,1186.0,1330.0,617.0,1244.0,16.0,906.0,1018.0,1316.0,1325.0
887.0,409.0,869.0,642.0,593.0,571.0,1244.0,1330.0,89.0,999.0,1330.0,864.0,16.0,392.0,1018.0,1312.0,900.0,1331.0,1077.0,423.0,1311.0,428.0,1189.0,1166.0,1030.0
882.0,898.0,313.0,98.0,590.0,997.0,1312.0,1327.0,409.0,880.0,997.0,13.0,398.0,1071.0,109.0,1167.0,962.0,401.0,1071.0,392.0,888.0,869.0,903.0,423.0,905.0
1244.0,1316.0,1185.0,1187.0,1002.0,1146.0,571.0,1324.0,617.0,1002.0,876.0,1073.0,505.0,1144.0,1189.0,1077.0,888.0,968.0,1117.0,905.0,1185.0,892.0,883.0,1189.0,1146.0
1169.0,1312.0,951.0,591.0,1327.0,865.0,1313.0,1328.0,1327.0,1028.0,1321.0,1314.0,1311.0,1321.0,1316.0,1315.0,961.0,1328.0,905.0,1311.0,1315.0,905.0,1328.0,1318.0,1313.0
1172.0,1311.0,1163.0,117.0,1328.0,1190.0,1311.0,1331.0,1333.0,1020.0,1327.0,1328.0,1315.0,1327.0,1311.0,1313.0,809.0,1327.0,904.0,1313.0,1313.0,904.0,1327.0,1313.0,1315.0
1170.0,1315.0,957.0,523.0,1333.0,1191.0,1315.0,1333.0,1330.0,1016.0,1333.0,1327.0,1313.0,1333.0,1312.0,1325.0,966.0,1333.0,1330.0,1312.0,1312.0,902.0,1333.0,1323.0,1311.0
1171.0,1313.0,953.0,20.0,1331.0,866.0,1325.0,1329.0,1329.0,994.0,1328.0,1333.0,1325.0,1328.0,1318.0,1318.0,963.0,1329.0,1328.0,904.0,1318.0,901.0,1330.0,1314.0,1312.0
1173.0,1318.0,954.0,910.0,1330.0,1117.0,1318.0,1326.0,1331.0,901.0,1331.0,1330.0,1318.0,1330.0,1330.0,1316.0,964.0,1326.0,1327.0,1318.0,1316.0,903.0,1331.0,1329.0,1318.0
1178.0,1323.0,949.0,1042.0,1329.0,1114.0,1316.0,,1326.0,902.0,1326.0,1329.0,1316.0,1331.0,1331.0,1323.0,1180.0,,1333.0,1316.0,1323.0,1217.0,1320.0,1330.0,1316.0
1177.0,1331.0,965.0,290.0,1326.0,1069.0,1323.0,,,905.0,,1331.0,1323.0,1329.0,1327.0,1328.0,1185.0,,1329.0,1323.0,1328.0,516.0,1314.0,1328.0,1323.0
1175.0,1328.0,972.0,1287.0,,983.0,1329.0,,,904.0,,1334.0,1330.0,1326.0,1333.0,1330.0,1182.0,,1334.0,1328.0,1333.0,117.0,1326.0,1333.0,1331.0
1176.0,1333.0,971.0,1024.0,,1070.0,1328.0,,,906.0,,1326.0,1328.0,,1328.0,1331.0,969.0,,1326.0,1327.0,1330.0,523.0,,1327.0,1326.0
1164.0,1327.0,958.0,712.0,,1074.0,1327.0,,,516.0,,,1334.0,,1334.0,1326.0,1187.0,,,1331.0,1331.0,126.0,,1331.0,
1332.0,1320.0,959.0,874.0,,1071.0,1320.0,,,1217.0,,,1329.0,,1326.0,,1190.0,,,1333.0,1326.0,898.0,,1334.0,
1167.0,1329.0,809.0,711.0,,1068.0,1333.0,,,900.0,,,1333.0,,,,1184.0,,,1330.0,,1289.0,,1326.0,
1166.0,1321.0,1194.0,516.0,,898.0,1321.0,,,1259.0,,,1327.0,,,,1189.0,,,1329.0,,272.0,,,
1163.0,1326.0,1205.0,126.0,,1011.0,1334.0,,,1289.0,,,1320.0,,,,112.0,,,1334.0,,1216.0,,,
1165.0,,952.0,1027.0,,1189.0,1331.0,,,272.0,,,1321.0,,,,957.0,,,1326.0,,979.0,,,
1179.0,,1075.0,1261.0,,1324.0,1330.0,,,1216.0,,,1314.0,,,,953.0,,,,,900.0,,,
1246.0,,1320.0,272.0,,1077.0,1326.0,,,117.0,,,1331.0,,,,951.0,,,,,20.0,,,
863.0,,1321.0,1216.0,,905.0,,,,523.0,,,1326.0,,,,1194.0,,,,,910.0,,,
1174.0,,1328.0,1217.0,,904.0,,,,1310.0,,,,,,,965.0,,,,,1042.0,,,
1205.0,,1327.0,979.0,,901.0,,,,126.0,,,,,,,954.0,,,,,1294.0,,,
1155.0,,1333.0,902.0,,902.0,,,,1256.0,,,,,,,949.0,,,,,1254.0,,,
1204.0,,1330.0,901.0,,903.0,,,,899.0,,,,,,,959.0,,,,,290.0,,,
869.0,,1329.0,903.0,,272.0,,,,1269.0,,,,,,,972.0,,,,,1290.0,,,
987.0,,1331.0,905.0,,1216.0,,,,881.0,,,,,,,971.0,,,,,1278.0,,,
676.0,,1326.0,906.0,,1217.0,,,,898.0,,,,,,,974.0,,,,,1261.0,,,
1194.0,,,904.0,,1289.0,,,,1278.0,,,,,,,975.0,,,,,1263.0,,,
1192.0,,,1289.0,,516.0,,,,1290.0,,,,,,,952.0,,,,,1286.0,,,
1196.0,,,1254.0,,979.0,,,,1263.0,,,,,,,956.0,,,,,1302.0,,,
576.0,,,1286.0,,1278.0,,,,1261.0,,,,,,,1195.0,,,,,1265.0,,,
951.0,,,1294.0,,117.0,,,,1254.0,,,,,,,1193.0,,,,,1305.0,,,
1197.0,,,900.0,,523.0,,,,1286.0,,,,,,,1197.0,,,,,1309.0,,,
971.0,,,19.0,,900.0,,,,1294.0,,,,,,,599.0,,,,,1287.0,,,
974.0,,,899.0,,1290.0,,,,1302.0,,,,,,,597.0,,,,,1277.0,,,
957.0,,,894.0,,1042.0,,,,1265.0,,,,,,,1196.0,,,,,19.0,,,
953.0,,,1263.0,,1295.0,,,,1309.0,,,,,,,1192.0,,,,,711.0,,,
597.0,,,983.0,,1310.0,,,,1268.0,,,,,,,1204.0,,,,,712.0,,,
950.0,,,1278.0,,1261.0,,,,1277.0,,,,,,,1205.0,,,,,1024.0,,,
1195.0,,,1290.0,,1254.0,,,,1305.0,,,,,,,186.0,,,,,831.0,,,
1193.0,,,1277.0,,1286.0,,,,1042.0,,,,,,,595.0,,,,,896.0,,,
975.0,,,830.0,,1294.0,,,,711.0,,,,,,,1198.0,,,,,1260.0,,,
954.0,,,486.0,,1309.0,,,,1295.0,,,,,,,596.0,,,,,1270.0,,,
949.0,,,829.0,,1302.0,,,,1271.0,,,,,,,594.0,,,,,1269.0,,,
1185.0,,,306.0,,1265.0,,,,979.0,,,,,,,1036.0,,,,,1295.0,,,
962.0,,,805.0,,1305.0,,,,712.0,,,,,,,950.0,,,,,1256.0,,,
1186.0,,,586.0,,1268.0,,,,1287.0,,,,,,,1191.0,,,,,862.0,,,
