targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.48,0.6997142273814361,3.0,1.0,6.133603238866397
7.1,1.6,0.9797958971132712,5.0,1.0,6.586956521739131
7.2,1.64,1.0537551897855595,5.0,1.0,6.9495412844036695
7.3,1.8,1.2328828005937953,5.0,1.0,7.9319371727748695
7.4,1.8,1.2328828005937953,5.0,1.0,8.46368715083799
7.5,1.8,1.2328828005937953,5.0,1.0,9.351851851851851
7.6,1.84,1.22245654319489,5.0,1.0,10.167785234899329
7.7,2.0,1.4422205101855958,6.0,1.0,11.653846153846153
7.8,2.08,1.4945233353815524,6.0,1.0,12.21774193548387
7.9,2.6,2.0591260281974004,8.0,1.0,12.948717948717949
8.0,2.6,2.0591260281974004,8.0,1.0,13.772727272727273
8.1,2.64,2.0372530525194947,8.0,1.0,14.852941176470589
8.2,2.84,2.110544953323667,8.0,1.0,16.833333333333332
8.3,2.96,2.0876781361119825,8.0,1.0,17.823529411764707
8.4,3.08,2.115088650624366,8.0,1.0,18.9375
8.5,3.44,2.515233587561998,11.0,1.0,21.956521739130434
8.6,4.08,2.9518807563992153,11.0,1.0,23.671875
8.7,4.08,2.9518807563992153,11.0,1.0,23.671875
8.8,4.56,3.250599944625607,11.0,1.0,26.57894736842105
8.9,5.4,4.37264222181509,14.0,1.0,29.705882352941178
9.0,5.56,4.708120644163657,16.0,1.0,32.234042553191486
9.1,5.56,4.708120644163657,16.0,1.0,34.43181818181818
9.2,6.6,5.979966555090421,23.0,1.0,40.945945945945944
9.3,6.72,5.976754972390955,23.0,1.0,43.285714285714285
9.4,6.72,5.976754972390955,23.0,1.0,47.34375
9.5,7.16,6.136318114309264,23.0,1.0,50.5
9.6,7.16,6.136318114309264,23.0,1.0,54.107142857142854
9.7,8.12,7.7733905086519375,26.0,1.0,58.26923076923077
9.8,8.96,7.727768112463003,26.0,1.0,60.6
9.9,9.44,7.652868743157693,26.0,1.0,65.8695652173913
10.0,10.04,7.394484430979619,26.0,1.0,72.14285714285714
10.1,11.44,8.261137936144149,29.0,1.0,79.73684210526316
10.2,11.44,8.261137936144149,29.0,1.0,79.73684210526316
10.3,11.44,8.261137936144149,29.0,1.0,79.73684210526316
10.4,11.44,8.261137936144149,29.0,1.0,79.73684210526316
10.5,11.52,8.290331718333109,29.0,1.0,89.11764705882354
10.6,14.48,9.533603725769181,32.0,1.0,94.6875
10.7,14.48,9.533603725769181,32.0,1.0,108.21428571428571
10.8,14.48,9.533603725769181,32.0,1.0,108.21428571428571
10.9,16.0,8.858893836140041,32.0,1.0,126.25
11.0,54.24,31.73172544946146,112.0,3.0,151.5
11.100000000000001,55.52,31.88870646482858,114.0,3.0,189.375
11.2,55.52,31.88870646482858,114.0,3.0,189.375
11.3,55.52,31.88870646482858,114.0,3.0,378.75
11.4,55.52,31.88870646482858,114.0,3.0,757.5
11.5,55.52,31.88870646482858,114.0,3.0,757.5
11.600000000000001,55.52,31.88870646482858,114.0,3.0,757.5
11.7,55.52,31.88870646482858,114.0,3.0,757.5
11.769551078621726,55.52,31.88870646482858,114.0,3.0,757.5
