run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1179.0,198.0,897.0,412.0,1208.0,862.0,80.0,1501.0,80.0,828.0,897.0,1185.0,375.0,566.0,220.0,131.0,505.0,201.0,1208.0,55.0,1128.0,1336.0,1208.0,271.0,1050.0
665.0,976.0,1126.0,68.0,204.0,1342.0,1191.0,898.0,273.0,1474.0,1128.0,696.0,1462.0,682.0,385.0,664.0,941.0,828.0,4.0,862.0,687.0,710.0,303.0,540.0,1179.0
310.0,819.0,68.0,303.0,1339.0,1179.0,55.0,375.0,262.0,1325.0,189.0,1342.0,370.0,216.0,131.0,939.0,842.0,1460.0,80.0,1012.0,1035.0,219.0,1464.0,1434.0,607.0
1050.0,201.0,1326.0,251.0,1035.0,385.0,219.0,687.0,1443.0,1035.0,1339.0,591.0,1336.0,989.0,563.0,297.0,785.0,983.0,310.0,925.0,1330.0,1144.0,940.0,1179.0,654.0
146.0,1331.0,131.0,199.0,1095.0,1121.0,1259.0,1208.0,683.0,663.0,563.0,1353.0,1453.0,1259.0,1144.0,303.0,182.0,1325.0,683.0,262.0,1342.0,792.0,189.0,68.0,1034.0
984.0,591.0,192.0,1208.0,828.0,607.0,974.0,381.0,319.0,342.0,664.0,182.0,983.0,310.0,619.0,566.0,1329.0,1326.0,297.0,146.0,940.0,1353.0,970.0,1121.0,190.0
375.0,1435.0,1407.0,925.0,870.0,9.0,1345.0,540.0,219.0,257.0,666.0,687.0,870.0,1353.0,375.0,1124.0,1412.0,886.0,898.0,153.0,1256.0,1501.0,1260.0,396.0,429.0
898.0,389.0,1034.0,131.0,198.0,710.0,374.0,976.0,1460.0,68.0,693.0,199.0,374.0,1294.0,974.0,976.0,1121.0,1208.0,374.0,342.0,216.0,390.0,505.0,214.0,720.0
825.0,273.0,219.0,1023.0,113.0,251.0,1501.0,190.0,1336.0,825.0,374.0,297.0,1353.0,396.0,219.0,654.0,1050.0,841.0,591.0,970.0,886.0,683.0,1460.0,1331.0,273.0
719.0,1224.0,251.0,683.0,1342.0,886.0,563.0,539.0,792.0,182.0,591.0,1128.0,219.0,939.0,975.0,1342.0,1034.0,1144.0,975.0,1407.0,192.0,1179.0,898.0,1435.0,1474.0
254.0,696.0,218.0,1256.0,1012.0,803.0,1324.0,1050.0,1012.0,883.0,1012.0,1012.0,218.0,1226.0,218.0,975.0,939.0,1336.0,1012.0,141.0,1012.0,696.0,975.0,883.0,1012.0
993.0,1299.0,,883.0,1256.0,1135.0,,1256.0,,528.0,921.0,153.0,,321.0,,153.0,975.0,1317.0,473.0,203.0,153.0,,939.0,370.0,153.0
1012.0,218.0,,153.0,921.0,1333.0,,1272.0,,370.0,153.0,1256.0,,975.0,,80.0,80.0,1335.0,939.0,194.0,921.0,,80.0,852.0,1449.0
354.0,1209.0,,113.0,153.0,144.0,,696.0,,1345.0,203.0,921.0,,254.0,,375.0,473.0,1191.0,194.0,974.0,1339.0,,473.0,153.0,1501.0
899.0,219.0,,370.0,341.0,1043.0,,370.0,,1342.0,1226.0,1339.0,,80.0,,473.0,1012.0,144.0,375.0,682.0,203.0,,1012.0,1345.0,1260.0
1324.0,,,921.0,1226.0,48.0,,1428.0,,1256.0,975.0,203.0,,473.0,,1012.0,375.0,754.0,505.0,201.0,975.0,,375.0,1256.0,1483.0
301.0,,,531.0,941.0,1345.0,,1012.0,,1453.0,939.0,194.0,,1012.0,,921.0,921.0,1193.0,203.0,921.0,939.0,,203.0,1342.0,1200.0
341.0,,,203.0,80.0,370.0,,1345.0,,1428.0,80.0,341.0,,375.0,,505.0,683.0,710.0,921.0,1339.0,80.0,,921.0,563.0,1201.0
205.0,,,975.0,975.0,1453.0,,1453.0,,696.0,473.0,682.0,,505.0,,1256.0,1256.0,711.0,254.0,1256.0,473.0,,321.0,141.0,189.0
80.0,,,80.0,939.0,1428.0,,341.0,,897.0,375.0,201.0,,921.0,,683.0,1339.0,242.0,1256.0,341.0,375.0,,1256.0,921.0,799.0
473.0,,,473.0,473.0,1256.0,,799.0,,1224.0,505.0,974.0,,1339.0,,1339.0,974.0,1333.0,682.0,683.0,505.0,,194.0,682.0,553.0
975.0,,,375.0,505.0,696.0,,1336.0,,1299.0,683.0,939.0,,683.0,,897.0,203.0,48.0,1339.0,505.0,1226.0,,683.0,194.0,539.0
