run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
887.0,754.0,856.0,788.0,624.0,903.0,240.0,500.0,863.0,399.0,358.0,104.0,96.0,312.0,1017.0,102.0,104.0,836.0,914.0,844.0,75.0,435.0,63.0,911.0,104.0
105.0,358.0,813.0,979.0,190.0,105.0,434.0,992.0,836.0,857.0,287.0,362.0,682.0,624.0,682.0,961.0,457.0,190.0,926.0,1003.0,929.0,941.0,467.0,510.0,153.0
814.0,796.0,626.0,78.0,287.0,220.0,926.0,722.0,578.0,817.0,991.0,223.0,535.0,131.0,292.0,433.0,926.0,844.0,376.0,190.0,299.0,222.0,903.0,436.0,470.0
63.0,637.0,290.0,75.0,905.0,240.0,59.0,982.0,940.0,434.0,399.0,958.0,215.0,434.0,457.0,222.0,913.0,982.0,513.0,216.0,61.0,500.0,299.0,952.0,382.0
246.0,376.0,190.0,926.0,63.0,643.0,514.0,436.0,514.0,759.0,153.0,294.0,222.0,153.0,1003.0,127.0,96.0,104.0,312.0,63.0,470.0,240.0,371.0,913.0,510.0
979.0,513.0,246.0,913.0,754.0,514.0,1006.0,435.0,358.0,287.0,961.0,751.0,751.0,952.0,375.0,362.0,882.0,991.0,788.0,433.0,513.0,510.0,131.0,1017.0,220.0
1017.0,566.0,63.0,382.0,866.0,401.0,294.0,751.0,131.0,535.0,219.0,457.0,382.0,682.0,63.0,857.0,460.0,216.0,371.0,866.0,63.0,961.0,926.0,866.0,151.0
96.0,913.0,291.0,535.0,220.0,566.0,190.0,903.0,61.0,255.0,435.0,999.0,926.0,513.0,882.0,817.0,682.0,67.0,457.0,682.0,436.0,914.0,401.0,783.0,246.0
190.0,299.0,292.0,240.0,151.0,291.0,513.0,151.0,844.0,66.0,754.0,913.0,153.0,783.0,240.0,1017.0,312.0,783.0,626.0,926.0,844.0,362.0,1017.0,836.0,467.0
905.0,621.0,151.0,131.0,991.0,751.0,929.0,510.0,215.0,433.0,66.0,626.0,102.0,104.0,460.0,294.0,566.0,312.0,435.0,754.0,358.0,911.0,941.0,287.0,940.0
621.0,96.0,96.0,369.0,96.0,797.0,96.0,514.0,96.0,96.0,312.0,797.0,221.0,96.0,993.0,287.0,927.0,96.0,797.0,96.0,751.0,579.0,96.0,96.0,96.0
797.0,797.0,206.0,457.0,1002.0,754.0,927.0,400.0,754.0,774.0,774.0,129.0,927.0,927.0,400.0,35.0,465.0,514.0,927.0,798.0,1002.0,557.0,934.0,754.0,927.0
236.0,927.0,453.0,934.0,774.0,927.0,129.0,927.0,774.0,797.0,96.0,927.0,783.0,774.0,102.0,774.0,797.0,220.0,104.0,783.0,774.0,218.0,797.0,934.0,371.0
798.0,400.0,909.0,218.0,797.0,400.0,682.0,220.0,434.0,312.0,934.0,928.0,129.0,797.0,797.0,236.0,400.0,400.0,798.0,927.0,463.0,294.0,457.0,400.0,400.0
463.0,682.0,941.0,557.0,751.0,909.0,783.0,1003.0,798.0,1002.0,446.0,96.0,797.0,754.0,927.0,797.0,774.0,927.0,96.0,514.0,994.0,682.0,803.0,927.0,803.0
221.0,783.0,501.0,928.0,463.0,1003.0,218.0,754.0,460.0,582.0,460.0,465.0,1002.0,400.0,446.0,977.0,434.0,1003.0,883.0,129.0,797.0,927.0,219.0,928.0,219.0
833.0,434.0,293.0,368.0,798.0,982.0,463.0,556.0,458.0,35.0,458.0,130.0,621.0,220.0,434.0,621.0,1002.0,906.0,400.0,582.0,287.0,783.0,621.0,500.0,130.0
