run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1673.0,296.0,1612.0,3373.0,1144.0,3316.0,3816.0,1722.0,3139.0,3576.0,2406.0,1846.0,3011.0,3083.0,1024.0,2255.0,1623.0,1060.0,2761.0,924.0,3316.0,2018.0,3475.0,810.0,3635.0
335.0,1780.0,103.0,1076.0,1277.0,1514.0,1480.0,1445.0,3378.0,3237.0,844.0,502.0,1099.0,1283.0,3166.0,3794.0,1785.0,1797.0,2295.0,725.0,2180.0,2801.0,881.0,1735.0,1374.0
771.0,3658.0,465.0,1706.0,1316.0,1236.0,1515.0,190.0,874.0,809.0,130.0,579.0,3530.0,478.0,1859.0,874.0,788.0,992.0,783.0,1694.0,1493.0,1812.0,2201.0,308.0,2891.0
2611.0,1227.0,661.0,2103.0,1389.0,2033.0,1752.0,1206.0,2131.0,979.0,3705.0,3883.0,3216.0,390.0,3757.0,2290.0,1215.0,3667.0,3743.0,603.0,2842.0,934.0,1368.0,708.0,2213.0
1926.0,1494.0,1787.0,3004.0,3174.0,2598.0,2243.0,1189.0,2036.0,1465.0,2264.0,3003.0,1393.0,1338.0,1463.0,851.0,1920.0,1392.0,1066.0,1827.0,2525.0,2263.0,2517.0,1372.0,715.0
3659.0,3186.0,3739.0,3692.0,1905.0,2356.0,2424.0,3318.0,2732.0,3315.0,3044.0,704.0,3130.0,2650.0,2713.0,3690.0,3044.0,3425.0,3467.0,2378.0,3285.0,3007.0,3770.0,3709.0,2692.0
2442.0,955.0,498.0,1708.0,2773.0,72.0,2464.0,2383.0,302.0,846.0,1045.0,2230.0,1721.0,1022.0,1454.0,575.0,3250.0,1840.0,1191.0,3135.0,1108.0,3031.0,3513.0,2377.0,838.0
382.0,2363.0,3787.0,3257.0,1434.0,3012.0,3623.0,2682.0,3847.0,1567.0,2987.0,2562.0,3596.0,3048.0,1489.0,2280.0,3159.0,941.0,3076.0,812.0,2280.0,2700.0,2488.0,1140.0,2785.0
2334.0,908.0,2591.0,1992.0,2540.0,2450.0,3064.0,3900.0,1132.0,236.0,3591.0,908.0,2691.0,2516.0,3564.0,2382.0,2810.0,3132.0,826.0,2075.0,438.0,1273.0,182.0,1225.0,67.0
3760.0,3079.0,1668.0,2459.0,1296.0,1309.0,3791.0,406.0,1359.0,703.0,146.0,3783.0,584.0,1457.0,1643.0,325.0,1657.0,508.0,3655.0,1157.0,3795.0,3165.0,3308.0,1632.0,2985.0
