targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.16,0.5425863986500213,3.0,1.0,2.1475501113585747
7.1,1.32,0.7332121111929344,3.0,1.0,2.226905311778291
7.2,1.32,0.7332121111929344,3.0,1.0,2.289020771513353
7.3,1.32,0.7332121111929344,3.0,1.0,2.4046134663341645
7.4,1.32,0.7332121111929344,3.0,1.0,2.512703583061889
7.5,1.32,0.7332121111929344,3.0,1.0,2.5833891493636973
7.6,1.48,0.8541662601625047,3.0,1.0,2.685933147632312
7.7,1.68,1.4062716664997557,7.0,1.0,2.836029411764706
7.8,1.8,1.4142135623730951,7.0,1.0,2.9578220858895707
7.9,2.08,1.5979987484350546,7.0,1.0,3.090544871794872
8.0,2.08,1.5979987484350546,7.0,1.0,3.1981757877280264
8.1,2.16,1.736202753136856,7.0,1.0,3.40423654015887
8.2,2.2,1.8547236990991407,8.0,1.0,3.5581180811808117
8.3,2.28,1.8443427013437605,8.0,1.0,3.748299319727891
8.4,2.92,2.726462910072316,12.0,1.0,4.0814814814814815
8.5,2.96,2.7346663416219537,12.0,1.0,4.252480705622933
8.6,3.48,3.1889810284791595,12.0,1.0,4.7094017094017095
8.7,3.92,3.309622334950016,13.0,1.0,5.432394366197183
8.8,4.76,3.8707105290889428,13.0,1.0,5.879573170731708
8.9,4.92,3.825388869121674,13.0,1.0,6.2920065252854815
9.0,5.12,4.338847773314939,18.0,1.0,6.63855421686747
9.1,6.44,4.648268494826864,18.0,1.0,7.9855072463768115
9.2,6.64,4.7233886141201635,18.0,1.0,8.826086956521738
9.3,6.8,4.833218389437829,18.0,1.0,10.123359580052494
9.4,7.08,4.898326244749322,18.0,1.0,11.652567975830816
9.5,8.76,8.500729380470831,42.0,1.0,13.119047619047619
9.6,9.76,8.40133322753002,42.0,1.0,15.18503937007874
9.7,10.52,8.528165101591314,42.0,1.0,18.723300970873787
9.8,12.12,9.584654401698582,42.0,1.0,21.07650273224044
9.9,12.48,9.402637927730705,42.0,1.0,23.095808383233532
10.0,14.6,10.665833300778704,42.0,1.0,26.06081081081081
10.1,17.36,15.022330045635396,57.0,1.0,33.833333333333336
10.2,20.52,15.796505942771018,57.0,1.0,39.357142857142854
10.3,20.56,15.803999493799031,57.0,1.0,45.37647058823529
10.4,26.56,19.988156493283718,68.0,3.0,63.22950819672131
10.5,29.68,21.849887871565844,71.0,3.0,72.77358490566037
10.6,32.0,23.30493509967363,72.0,3.0,85.71111111111111
10.7,85.48,81.12465469880289,200.0,3.0,137.75
10.8,85.64,81.05547729795933,200.0,3.0,148.34615384615384
10.9,114.76,84.11576784408497,200.0,3.0,183.66666666666666
11.0,115.96,82.71516426871193,200.0,3.0,214.27777777777777
11.100000000000001,116.72,82.08167639613606,200.0,3.0,385.7
11.2,117.08,81.8725448486854,200.0,3.0,482.125
11.3,117.16,81.80106600772389,200.0,3.0,551.0
11.39794001,148.28,76.11965317840065,200.0,16.0,964.25
