run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1480,1703,241,168,1379,1065,1120,882,849,1446,1126,952,1486,227,1123,897,1167,947,675,1312,250,1246,1044,1514,1594
1342,1584,1238,957,916,386,338,1710,926,745,963,188,1289,167,637,1560,1549,1123,484,1647,1494,1224,1099,946,604
881,47,1521,1221,362,1283,1307,756,720,478,1386,93,1402,578,105,42,1025,1734,598,466,694,142,1366,368,320
1748,304,1220,1449,88,141,571,1236,718,1715,1272,632,465,1305,644,1612,1349,280,371,1044,115,717,558,25,903
1128,534,1536,1157,333,236,60,1077,1091,510,903,246,668,1297,727,1080,142,1321,896,1187,1470,714,1507,783,469
217,1045,541,1653,544,661,1064,739,1374,486,230,82,593,330,451,1500,284,979,1517,1158,1645,966,739,745,1262
914,48,922,371,1596,1581,224,1098,393,1073,379,835,1320,201,453,632,1044,1205,360,1496,1652,1385,1510,2,285
141,1586,1366,533,1614,992,867,1249,312,426,1608,42,1609,295,594,1414,1593,58,957,120,454,1066,1460,1687,1470
1662,302,1008,1547,518,388,758,71,1289,166,1737,1377,1051,731,1653,1571,242,441,707,1708,1698,711,1027,331,1502
175,1229,508,833,1098,1280,1699,888,1279,1213,1195,336,425,883,410,1663,1095,1438,712,123,257,336,1052,95,1182
200,1662,375,331,1668,446,375,596,1648,1462,1708,315,566,1719,1656,541,376,1714,331,1646,1668,433,434,957,66
539,596,1532,1694,1494,1006,1532,1345,589,1142,198,1741,733,1721,1484,1483,375,978,1694,1467,333,1708,725,1694,221
1684,505,867,481,622,1089,376,1514,313,574,1412,1010,418,200,144,1484,1533,427,481,435,622,198,1504,481,549
1719,688,376,376,599,442,1349,688,800,545,1687,1408,146,881,1497,1497,1713,56,376,1678,599,528,425,376,1593
