run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
461,572,1486,485,158,591,24,474,1245,1478,810,70,1137,1322,148,683,1235,1156,726,1414,1106,1419,329,810,821
1126,983,1396,16,661,1103,892,185,978,346,722,647,314,1355,659,920,90,839,417,759,698,890,1438,87,143
34,782,1497,578,880,1310,1394,43,1294,160,1235,616,922,1178,199,103,58,878,316,1350,669,230,750,1328,936
491,536,387,140,534,1415,436,1044,529,281,97,1038,1220,1384,1019,350,588,734,1049,1173,631,41,338,1483,292
9,1143,457,854,649,269,754,60,243,557,1445,363,897,5,3,497,1267,1403,926,1460,1114,1193,95,25,1468
982,309,1137,1370,406,805,1458,915,117,970,143,751,610,656,869,218,1075,865,129,299,496,542,120,1137,627
425,1364,653,1187,759,663,988,530,337,289,668,430,1390,501,754,1085,1394,216,1206,851,1175,944,623,559,727
1379,248,1216,194,571,988,1139,409,1063,669,348,773,639,435,1364,504,873,1199,1292,1205,1255,1015,250,1345,1431
315,181,1344,1451,1200,857,847,707,421,1432,1339,1117,1229,877,1126,44,106,358,1468,466,877,131,1384,686,937
303,91,14,1385,401,978,571,363,427,1397,1472,828,10,306,1276,735,890,958,832,1250,130,1199,882,736,307
1155,856,1109,1254,1260,718,1116,1005,460,133,127,862,576,906,555,879,820,1016,930,750,859,1481,47,1460,353
696,83,1219,867,914,1497,1227,460,628,679,790,464,679,1451,1054,235,131,1095,693,1303,1442,650,1039,1373,469
233,1321,776,643,333,447,822,709,65,295,919,1110,462,848,347,1309,44,1098,959,1383,1315,1314,1317,1077,535
1385,1380,577,945,665,345,318,261,1090,1459,1071,929,501,255,368,285,1050,321,690,629,1200,107,485,1337,1446
1357,442,1048,1004,1218,1205,1381,94,961,769,393,1231,757,984,471,817,526,1104,390,1218,460,1415,331,543,174
1378,810,869,1473,385,529,1269,1206,974,52,519,1104,272,19,1034,107,930,1062,762,1378,1481,1007,612,187,684
440,1018,563,1066,423,680,1321,1288,3,476,751,1455,509,682,1496,398,408,1117,73,26,888,34,1250,1148,644
1364,651,516,348,468,1321,1146,147,851,370,9,565,1015,581,688,1043,315,923,643,1353,531,1239,1505,1166,1118
623,49,482,1202,338,1261,43,1388,1130,1052,1216,1434,141,1057,1193,1081,422,792,1305,1424,360,844,350,330,809
942,90,442,227,393,1353,1145,442,477,701,590,383,1209,1044,313,1441,410,668,1113,387,1036,746,1060,997,706
493,721,1184,1007,206,693,46,660,149,1424,355,1282,754,269,1114,721,96,558,902,582,1350,8,1150,631,1444
153,514,1425,1307,151,1275,66,280,203,768,114,659,1428,673,786,675,991,1251,1012,216,1069,1183,683,990,964
124,664,1164,1411,123,1135,945,101,807,144,1299,1183,516,237,535,829,616,1431,910,81,624,1027,230,628,1256
84,821,302,699,795,575,655,994,414,731,129,840,1436,1430,419,668,222,424,334,334,705,418,65,22,918
1144,865,135,217,1239,381,628,221,37,821,912,381,634,1450,564,363,1169,360,514,819,70,1024,246,1133,1191
92,527,1466,1090,902,526,1189,3,279,844,951,120,86,30,1014,1179,155,1332,847,640,852,898,1108,928,958
766,1306,888,1133,202,1036,862,744,1068,1239,910,870,1136,1356,269,835,1022,489,1447,988,1277,1181,1411,1160,456
81,1299,835,850,1503,1307,1423,717,126,242,1372,1428,1495,778,1012,1132,557,241,1482,1336,429,414,1415,288,1046
1160,1338,686,1045,1081,85,153,903,542,627,740,785,368,759,1225,152,1410,868,897,1370,1062,735,1309,733,778
162,873,784,1494,1490,1073,1418,706,254,547,87,1018,557,1159,753,559,1485,989,885,355,213,324,815,1309,693
274,698,865,1474,418,329,883,1435,1196,431,1112,599,1064,1176,1116,87,219,440,446,354,1482,330,313,932,1308
120,1206,397,138,494,652,232,520,1052,156,610,1065,971,1246,997,722,956,653,92,607,108,906,323,717,415
408,1356,1468,20,44,1443,711,42,1288,1362,1105,341,605,1151,681,1167,536,299,211,1467,299,917,740,1466,522
1112,459,1337,476,774,336,1431,837,734,1083,836,311,1036,295,1447,812,2,357,365,1393,603,1195,35,346,1083
257,329,1383,898,926,1196,1121,1447,1421,287,448,1089,9,1439,141,1249,1441,1493,473,1473,57,331,1391,862,384
1243,1078,57,260,1327,1159,123,318,610,1007,439,1363,755,66,80,621,513,96,1039,1077,707,865,732,489,725
56,388,1021,960,465,406,351,943,1377,480,275,906,116,1417,0,853,735,491,470,942,387,1470,907,1079,1428
1348,1502,1018,862,56,754,1158,1281,48,1104,808,1442,1054,1025,994,358,1011,1164,721,1412,207,254,43,1507,947
487,86,458,1036,644,1325,1410,1349,1124,1246,164,1501,381,551,603,975,576,983,854,743,300,1022,889,67,473
1182,754,964,369,1427,752,783,1050,958,762,1373,700,366,534,1463,342,1292,976,496,1072,1110,611,1316,790,1119
20,1335,1275,1176,1350,628,1449,372,493,927,16,107,840,362,728,22,692,627,984,1498,1093,340,1166,1464,1441
1035,1215,480,1369,1488,1109,554,368,101,922,502,704,1055,917,880,1240,234,52,251,844,1007,833,608,1,367
749,288,839,633,248,797,538,561,111,1175,2,1026,1415,960,730,1488,128,1380,259,998,433,719,560,1217,609
661,1291,1296,426,109,557,868,82,429,1472,295,140,250,695,657,421,1126,533,142,1237,345,130,995,605,60
1258,1386,1015,511,1475,1242,463,337,1122,1416,1249,973,390,361,92,498,611,30,368,1073,700,1226,220,738,798
1230,976,530,431,822,1226,302,740,127,332,1195,63,47,217,452,195,814,1088,1490,20,1464,914,776,410,1095
219,60,318,1367,838,833,240,59,27,659,433,1346,156,316,742,819,1128,881,206,1196,1332,548,527,1189,420
682,245,265,865,293,1342,388,928,700,780,794,1055,1125,499,1048,576,1214,1231,5,1015,1469,1490,415,553,1458
196,1312,408,1295,1161,671,1188,402,550,625,465,23,848,721,77,101,1311,600,332,1241,98,234,876,368,108
103,547,914,989,1349,1303,1071,1482,850,72,999,1506,930,284,908,296,836,1365,994,160,1211,669,114,617,29
295,1454,497,300,339,650,409,71,365,1471,453,699,1500,998,113,85,1239,1307,261,1075,1438,1476,134,700,199
1197,684,102,973,21,648,812,1277,1075,965,350,303,677,360,999,1161,550,1433,1079,1042,1296,10,1171,837,859
1468,1339,381,787,1157,1407,136,1029,703,726,552,821,803,784,503,1365,1130,70,929,1254,217,1418,52,1402,1123
863,561,1087,851,731,1456,231,631,1325,95,450,470,618,1358,204,759,1133,325,1140,1256,347,215,173,282,1321
1238,1484,570,950,232,369,983,1412,242,1254,103,917,842,791,971,9,186,1293,1061,288,1346,1231,871,84,142
110,848,1408,350,577,1043,458,1224,1211,1499,1142,783,1372,792,892,394,1450,943,1036,835,1071,1197,273,645,892
1162,368,1288,499,1165,959,139,828,205,432,460,612,992,798,1093,225,1498,860,461,647,582,1229,1103,794,715
117,686,1075,1013,1169,391,673,431,1024,938,1039,218,739,570,1055,661,794,572,1158,847,163,814,602,235,1411
944,73,1006,830,1320,303,455,758,739,1233,147,317,1264,742,212,486,350,16,1145,779,1306,170,1432,654,297
968,534,1056,1418,187,589,249,112,285,395,649,78,1405,481,479,271,140,372,1243,936,755,1335,805,1202,104
98,691,1130,849,1254,158,869,917,1318,235,173,1328,212,565,164,26,1040,833,805,161,903,1291,1191,951,1192
613,814,877,58,708,191,1043,940,1138,468,551,566,732,385,497,1299,744,4,1291,1301,454,80,1030,991,1024
908,748,346,10,1166,1308,722,858,1415,1151,7,525,62,1094,500,1274,606,1482,1458,840,723,705,1393,1487,112
926,792,960,373,1256,467,962,601,623,1387,413,54,1147,142,371,1258,668,1234,983,1296,566,1405,519,756,1285
1129,506,129,226,951,546,717,786,641,953,1502,123,1111,1145,1001,530,601,844,733,876,412,1106,1321,58,1182
1074,1394,355,159,351,1093,1328,138,530,522,604,615,1344,608,724,605,1199,142,134,731,787,169,1215,675,1159
1147,566,679,1044,770,1448,134,900,395,840,998,113,625,922,291,709,421,1143,1335,528,5,373,1203,335,1286
154,1176,249,446,1274,1284,712,156,1166,1037,717,880,1118,1280,323,1099,700,132,510,711,517,1110,614,88,1004
782,936,1092,727,1494,100,1383,925,154,1000,1061,1473,218,20,670,1334,789,309,1321,77,1019,1400,619,1101,1484
