targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.08,0.27129319932501067,2.0,1.0,2.426448736998514
7.1,1.08,0.27129319932501067,2.0,1.0,2.504601226993865
7.2,1.08,0.27129319932501067,2.0,1.0,2.5595611285266457
7.3,1.08,0.27129319932501067,2.0,1.0,2.6338709677419354
7.4,1.08,0.27129319932501067,2.0,1.0,2.7216666666666667
7.5,1.08,0.27129319932501067,2.0,1.0,2.8010291595197256
7.6,1.12,0.32496153618543855,2.0,1.0,2.880070546737213
7.7,1.12,0.32496153618543855,2.0,1.0,2.9744990892531877
7.8,1.12,0.32496153618543855,2.0,1.0,3.128352490421456
7.9,1.16,0.36660605559646714,2.0,1.0,3.2923387096774195
8.0,1.2,0.4,2.0,1.0,3.4597457627118646
8.1,1.24,0.42708313008125237,2.0,1.0,3.8605200945626477
8.2,1.4,0.7483314773547883,4.0,1.0,4.176470588235294
8.3,1.4,0.7483314773547883,4.0,1.0,4.511049723756906
8.4,1.64,1.162067123706716,6.0,1.0,5.071428571428571
8.5,1.64,1.162067123706716,6.0,1.0,5.371710526315789
8.6,1.88,1.4232357499725756,6.0,1.0,6.0036764705882355
8.7,2.64,2.527924049491994,12.0,1.0,7.595348837209302
8.8,3.24,2.731739372634219,12.0,1.0,8.732620320855615
8.9,4.12,3.5588762271256353,15.0,1.0,10.467948717948717
9.0,4.88,4.02313310741765,15.0,1.0,11.748201438848922
9.1,5.0,4.214261501141095,17.0,1.0,16.663265306122447
9.2,13.44,26.941536704501466,111.0,1.0,21.486842105263158
9.3,17.84,28.028100185349697,113.0,1.0,29.69090909090909
9.4,18.6,27.840976994351323,113.0,1.0,37.97674418604651
9.5,32.4,47.273671319244926,193.0,1.0,41.87179487179487
9.6,42.52,60.34641331512586,224.0,1.0,51.03125
9.7,43.84,60.01378508309569,225.0,1.0,77.76190476190476
9.8,44.44,60.18975328077031,225.0,1.0,108.86666666666666
9.9,48.0,61.16796547213255,226.0,1.0,272.1666666666667
10.0,50.52,61.148422710647246,235.0,5.0,326.6
10.096910013008056,57.24,62.51417759196708,239.0,12.0,816.5
