run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
92,102,262,279,63,99,28,114,0,322,225,151,264,227,150,44,244,86,309,285,63,323,288,74,265
280,125,70,287,34,170,167,129,289,140,80,312,188,101,1,198,0,308,257,6,177,130,326,127,132
132,11,69,275,162,47,56,188,78,258,325,329,137,67,310,319,147,261,236,293,121,55,257,110,298
279,248,98,15,303,62,341,261,179,332,6,113,275,33,292,67,310,250,131,141,47,72,311,14,340
6,238,7,271,130,66,83,236,25,165,308,249,287,249,224,331,84,128,113,60,210,59,341,220,184
301,338,244,142,298,323,242,315,153,229,299,169,277,118,275,24,292,169,249,240,226,180,250,287,188
247,112,225,246,142,252,30,339,284,110,113,135,327,12,132,64,210,82,30,168,267,61,123,234,157
55,147,175,302,14,339,158,65,253,31,164,230,127,136,94,79,304,274,260,165,232,270,299,257,131
228,89,147,83,312,134,179,302,44,282,64,190,151,219,215,69,76,254,237,250,196,228,243,117,64
37,173,180,238,101,53,337,122,126,291,142,144,140,127,220,308,57,223,246,62,13,324,36,26,246
148,261,67,319,339,74,64,142,160,326,148,297,297,303,165,18,67,126,7,74,293,148,258,199,18
80,262,308,288,181,199,42,181,288,211,55,277,316,280,320,28,308,244,58,199,309,80,211,148,28
199,213,242,159,316,148,18,316,279,306,199,316,339,135,291,42,242,67,60,148,265,199,306,62,42
74,317,265,284,277,80,33,277,319,259,74,339,101,134,289,167,265,242,59,80,243,74,259,80,167
62,334,243,310,289,55,21,289,159,8,62,101,245,313,160,33,243,265,241,55,119,62,8,55,33
22,260,119,121,160,22,73,160,310,212,22,245,329,304,288,83,119,243,151,22,127,22,212,22,83
48,287,127,289,288,48,90,288,121,287,48,314,314,299,279,21,127,119,139,48,276,48,287,48,21
273,212,276,291,279,273,236,279,291,327,273,81,81,133,319,73,276,127,77,273,67,273,327,273,73
96,8,232,320,319,96,194,319,320,330,96,246,246,300,159,90,232,276,239,96,244,96,330,96,90
200,259,295,321,159,200,249,159,321,260,200,298,298,281,284,236,295,232,84,200,295,200,260,200,236
95,211,294,160,284,95,26,284,122,13,95,328,312,282,121,194,294,295,95,95,294,95,13,95,194
108,326,143,122,310,108,99,310,311,337,108,268,328,305,321,249,143,294,274,108,308,108,337,108,249
272,258,186,311,121,272,115,121,162,334,272,315,190,301,122,26,186,143,201,272,143,272,334,272,26
47,306,293,162,291,172,27,291,161,118,47,142,268,296,311,99,293,186,273,47,186,47,118,47,99
172,327,309,161,320,283,106,320,190,338,172,181,315,307,162,115,309,293,31,172,65,172,338,172,115
283,330,65,190,321,107,137,321,164,61,283,129,142,302,161,27,65,309,97,283,306,283,61,283,27
107,13,306,164,122,31,0,311,325,143,107,130,181,65,190,106,306,65,178,107,258,107,143,107,106
31,337,258,325,311,63,87,162,181,317,31,292,129,308,164,137,258,306,197,31,326,31,317,31,137
63,118,326,181,161,93,247,161,331,213,63,179,130,244,325,0,326,258,217,63,211,63,213,63,0
93,61,211,331,190,206,264,190,163,242,93,120,292,295,181,87,211,326,199,93,259,93,242,93,87
206,143,259,163,164,238,188,164,165,232,206,204,179,265,331,247,259,211,55,206,8,206,232,206,247
238,242,8,165,325,195,257,325,328,262,238,332,120,186,163,264,8,259,148,238,212,238,262,238,264
195,232,212,328,331,248,267,331,292,261,195,341,204,143,328,188,212,8,80,195,287,195,261,195,257
248,309,287,292,163,94,231,163,316,89,248,335,332,243,316,257,287,212,74,248,327,248,89,248,267
