run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1648,593,571,833,1583,1410,72,791,1258,248,587,373,71,1293,1509,1653,680,1265,1409,1598,1536,1357,1648,1078,1299
1463,653,361,64,1499,545,1026,1163,367,1463,823,829,498,643,1023,1163,1148,1057,427,1482,1587,732,1498,293,1616
1025,1598,593,434,373,361,832,1364,1589,1114,1018,1340,545,132,320,966,1085,1318,567,39,1148,1163,1070,826,253
736,823,1619,1257,916,327,1648,419,1445,827,320,341,1598,255,1265,1357,1080,1176,508,256,1265,1646,993,1594,1617
1594,1614,248,1604,1107,732,1536,823,1631,593,1409,1409,1057,993,838,1615,1226,1069,70,1357,1299,571,1363,638,810
732,193,64,567,848,680,833,956,373,999,829,571,997,1232,966,1587,1069,1135,1617,827,1616,293,1230,775,1622
132,903,72,993,366,695,661,830,39,268,1078,1617,361,1565,1080,659,783,256,1615,905,1653,1615,248,1647,661
71,460,1615,72,397,508,810,1622,1340,829,1107,1258,1163,823,72,827,659,830,736,1509,1598,268,838,1616,256
1476,1078,810,903,1258,1653,70,1589,848,508,826,567,1482,1634,1318,411,1482,293,33,1363,1556,1235,643,779,1230
788,253,1025,956,72,832,1235,1073,1509,1594,1463,742,193,1357,1634,416,397,1232,411,1078,1293,248,736,1509,788
168,1289,606,1622,240,743,248,779,268,373,783,342,1616,834,241,1649,132,1608,1046,1649,1651,1652,1642,1652,173
937,1615,240,1026,248,1611,1642,373,1551,1589,286,1614,320,1025,679,1289,1025,1616,1289,1652,1652,1649,1649,1649,1348
1642,1046,1289,241,1339,1651,1652,268,1552,779,650,268,643,71,245,1647,834,643,285,1647,1647,1651,1386,1357,1607
1386,285,1046,245,1026,331,1357,506,488,1410,940,1499,642,244,240,1652,638,642,320,1651,1649,1386,1646,1651,1608
1653,1162,937,916,1589,1386,1647,927,1630,927,1499,779,1608,638,916,1614,1622,1162,1614,1653,1357,1648,1651,1653,642
834,320,1026,240,268,1642,1649,1107,1628,1107,34,920,1348,341,70,248,1318,1348,341,1386,1386,1642,1653,331,643
680,341,285,1318,245,1648,1386,1410,1645,512,363,1589,1607,1652,1317,1046,1024,1359,342,1642,1642,1653,1647,1589,1162
