run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
2713,2609,2049,3482,2544,1493,2063,2608,1640,3803,2466,3816,3807,488,3724,2812,1806,351,1793,3626,73,172,2229,2953,3514
3211,982,1361,139,1395,3834,2255,2170,789,2851,3029,3273,1316,1800,457,3854,982,2024,21,1530,1731,803,3725,3461,1030
1373,1155,221,2883,682,1019,1893,3832,1139,3716,2780,1483,489,982,1900,3679,3531,3626,3106,2238,2849,1272,635,1802,2182
489,611,22,3559,1493,457,2170,945,2463,1642,668,3094,21,1938,21,1769,1042,2992,2848,1731,3076,2078,434,692,2161
2049,1874,1906,1963,2613,3552,1513,117,0,1021,3332,1457,3626,3829,809,2078,1262,1908,672,2931,3096,600,2182,2761,306
3013,2853,1963,3057,1156,601,315,3398,1395,2952,2762,1963,2777,2580,557,2145,788,996,1666,3516,565,400,3709,1932,2952
3094,1343,2466,2849,92,441,341,3816,3275,2849,3807,557,2543,157,3690,2849,1370,2463,1216,1425,105,1447,3013,2460,2544
1370,853,341,3241,3552,803,1021,898,64,3804,3241,2540,3120,63,2911,1995,3414,1316,1156,3831,3398,982,1610,2015,2813
3169,2613,1483,2843,2016,715,2964,3841,27,1023,3253,1493,1893,2466,172,2609,679,3668,3461,1963,2607,1908,2463,600,3679
635,1216,2369,2148,1321,3576,3531,3226,2823,768,3622,3834,1155,1932,673,2608,3563,673,1846,751,3716,2369,565,2607,1169
697,258,434,882,258,697,2369,3013,1842,1426,2832,697,1280,1850,258,1426,3779,882,258,2549,215,2695,898,1273,1426
898,936,3541,1426,1426,1535,316,3551,598,671,1802,2848,3553,670,3106,3551,2369,1535,2063,2111,1850,201,3551,2016,801
3551,1041,1041,2835,2810,315,3066,1535,1791,670,882,1235,1426,292,1732,3013,3240,1426,936,1426,2609,1321,1535,343,3414
1535,2965,2695,50,3013,1426,1210,2810,2162,672,1535,1494,315,3063,2863,898,2885,315,3531,315,1447,3541,1850,1776,1316
2111,454,697,1280,898,2549,682,2111,1615,2580,1280,576,304,304,1136,2810,3066,0,2369,292,445,434,1426,2955,3553
341,787,788,1802,3551,2811,3626,1426,344,64,1426,3666,2503,3594,2823,3552,2220,697,2885,2837,488,995,2810,344,1425
1426,201,3531,2551,1280,3013,2549,64,1273,445,2111,2847,2549,2032,119,2831,882,3553,434,1547,2851,1705,2549,1641,3413
2810,2248,3066,768,673,898,3106,2549,2953,853,339,2544,2837,2581,2078,1280,1210,2549,3541,1535,64,3531,1842,2050,1535
2812,350,995,2580,454,3551,3520,3552,343,1600,1020,2063,1535,2579,1332,1535,1426,3413,3066,3551,1071,1210,3541,63,2811
3552,1276,1210,448,434,2810,1922,2812,1641,542,1806,2868,292,1447,3275,671,682,708,2720,3013,1791,2720,671,64,2812
2831,1095,1705,2842,995,1850,3541,1280,2955,1640,3554,1161,3413,193,2318,1425,434,139,995,898,3066,3066,936,1829,1280
1280,119,1321,2832,405,2111,1705,1425,3532,343,1279,1908,3594,3076,48,3556,995,1425,1210,2810,1210,73,2111,3271,3552
1425,1042,73,1996,1705,1425,193,3555,157,1641,448,96,1425,1974,2518,697,2720,2811,1705,2831,2720,682,3258,119,3551
3413,2863,2720,339,1023,2812,434,2831,1377,3031,3013,2964,2811,2319,1449,64,1705,448,682,3552,1511,2023,1321,1935,3013
2811,3221,682,1020,927,1280,995,3413,772,2953,898,2613,2111,1667,1041,3413,988,2837,73,2812,3531,3318,2831,2843,898
1019,788,927,697,2720,2837,2720,2811,1642,1377,3551,2965,448,1229,936,454,3039,3552,1321,1280,2369,3520,1705,3501,2810
3553,64,988,1806,1210,3240,2773,341,3031,2955,2810,3275,1019,3398,1155,2549,927,2812,3520,3556,3541,1857,995,2024,880
1316,3096,3039,3554,2369,1020,2990,163,845,344,2549,2318,139,2851,787,2811,3520,1280,927,1321,434,3398,3063,3120,163
3231,1094,936,1279,988,3555,3039,1019,3481,2016,64,1799,2609,1340,788,1019,1857,1377,697,1620,995,927,193,1640,341
163,2170,1857,1021,3039,1806,988,3553,1727,292,3555,573,3627,1846,201,2111,697,3013,988,3413,1705,988,3552,2608,2831
2813,3097,193,2420,152,3554,936,1316,3063,1097,3240,3667,3240,445,2248,3553,1020,898,3039,1019,682,3039,2812,2823,447
3414,2169,3520,1019,788,3556,927,3231,1643,304,3556,845,1317,671,350,1316,2111,3551,1857,2811,927,936,1280,715,2549
447,3576,1042,2811,1857,1620,1081,2813,1776,1620,1019,2967,882,1620,1276,2882,2734,2810,2773,3332,988,2851,3240,488,2832
1317,1136,2773,2111,1081,3626,1857,3414,63,3594,1425,2843,3554,3175,1095,3231,2831,64,3318,3553,3039,2773,1020,2609,1019
300,63,1704,1535,3520,3413,152,447,119,2032,2811,2952,3063,1935,3221,3240,3554,341,2471,1316,3709,2471,3554,799,3231
2015,2016,2471,1425,193,2831,2471,591,936,315,3413,344,1020,112,1042,3554,3551,2111,193,3594,3779,1276,3556,1071,2111
3556,3121,3318,3413,1276,882,76,1317,1041,2549,3552,1273,697,64,3096,1020,3013,1019,2534,3279,3520,2248,1425,48,1317
800,2319,1276,3553,2773,292,2810,3240,2518,139,2831,3481,1806,2412,3576,1806,898,3240,201,139,1857,1095,3413,157,800
1021,3076,1095,1316,2248,2355,3552,3554,3175,3626,2812,1265,2835,1071,64,882,2810,3556,1042,2835,1156,1042,882,845,3240
1988,1974,2248,3240,350,139,2831,1021,1935,2837,3553,2851,1021,629,3097,340,1535,2831,1704,3482,542,1704,1019,2023,3556
2832,112,350,1317,1095,2835,2812,1447,2016,2581,1316,670,2579,833,3538,2813,3552,3554,1276,3231,2471,787,2811,1642,882
448,2549,1156,3231,2831,1316,2927,1806,2777,1776,1317,3398,3013,1343,2170,3414,881,3231,1095,193,936,1156,1806,1615,3554
3240,1283,201,315,2471,3553,1425,1020,2607,2579,1012,1447,898,961,1094,447,1425,340,3096,2882,76,350,3555,1643,697
3554,2078,199,2549,3541,304,3551,882,1829,2551,3231,445,3551,3133,2169,1317,936,3414,2248,64,2319,671,2412,1936,1020
882,1229,787,3626,936,1097,898,2833,715,2835,2813,2023,64,2054,1156,449,1019,2813,350,2813,2773,3096,3553,2038,1806
1806,1667,671,292,3531,3594,3013,340,1071,3240,447,119,3555,1297,199,193,2811,1020,671,3414,1704,405,1316,585,1021
1020,2054,3096,2837,3066,3231,1019,1321,1798,3554,3414,671,1136,581,1321,1021,3541,1806,152,447,2990,1332,3231,2952,3273
340,2412,2990,304,2549,1317,2111,1094,2024,1806,1094,542,3552,1097,2710,2833,2812,1021,2990,1317,1974,3709,2813,1272,2063
3241,1535,3538,3594,2812,64,3413,2851,3781,1020,1021,2762,2831,738,3093,715,449,447,787,2551,2897,697,3414,1377,2050
339,2111,3105,898,199,341,1535,1600,1936,882,163,3447,2812,1600,3105,3626,3413,881,788,1922,152,1169,447,306,2138
3555,448,3221,3013,1042,2813,2811,542,2608,3013,880,1136,341,317,2849,315,199,1317,199,1021,3063,788,1317,2049,340
1279,3013,1155,3551,1704,3414,3240,671,2038,898,1023,2853,2023,2549,1731,139,1704,880,1155,341,670,2534,405,3481,688
880,898,3097,2810,1535,447,1280,3332,3120,3551,2761,1600,2810,3626,3578,2837,2773,2832,1841,1097,1169,3221,880,3031,2015
2927,3551,2851,3552,1425,2319,2813,3556,48,1535,1321,488,449,315,2613,292,405,449,2839,3627,199,1094,988,77,448
881,3554,670,2831,1019,1667,1426,670,2609,2810,340,2016,2813,139,96,3594,2471,2835,3538,3240,788,119,3039,3175,3241
2138,1020,3447,2812,2111,2412,3414,2883,2843,2831,2170,3121,3414,3240,2964,2835,1094,3241,3221,3554,1155,670,927,800,3555
1948,1806,152,449,2811,1021,1316,672,1934,1280,341,2607,3231,3413,2544,2355,2990,339,3097,882,2016,3097,2720,3482,339
799,882,3292,881,3240,3076,3553,2497,787,697,2169,3175,447,2831,2063,63,193,3555,3105,1020,1276,2726,542,772,1279
3232,2810,2534,2579,1806,1974,447,2016,1155,2111,3576,1935,3241,1535,1908,2016,1156,2927,670,1806,2248,3105,1210,1051,591
449,3552,715,2813,3554,738,880,63,1051,3413,315,1071,2832,880,2965,1097,201,1620,2851,304,350,1265,682,2931,2621
2549,2812,1995,3414,340,2579,3556,449,1069,3552,3626,3120,881,2832,585,304,1155,1279,3447,2579,671,2964,2369,802,585
315,2831,1600,447,1020,1012,340,119,3121,1425,2837,2608,340,2810,2369,2032,1316,3106,160,2842,1042,1600,2773,798,2835
2837,1426,2726,340,882,449,139,2023,1995,2811,292,2024,2551,3552,3541,1620,3553,2551,2726,2581,1095,1041,2471,305,139
139,1280,1170,2319,3413,2551,3231,488,2218,2812,1620,1934,339,3551,434,2579,2813,292,2170,801,787,3292,3066,345,2551
2835,3240,2810,1297,880,1922,3709,2863,1294,1019,139,2609,1915,3013,995,1012,447,2412,2016,768,201,2990,3531,2842,1922
1620,1425,3551,341,3414,3627,199,2823,3482,1316,2835,1069,1097,898,1705,2581,3231,2833,715,449,3221,445,3520,2851,2836
3626,1317,3013,1377,341,2832,1704,3175,1272,3553,304,1995,1621,2812,1210,672,1317,3594,64,2927,3538,193,1857,1727,315
292,449,898,2412,881,448,3554,1935,3543,1317,3594,64,738,1280,3531,2503,1276,1012,3271,881,3097,1155,3075,670,2837
2412,2811,2831,3555,2990,339,882,448,2842,1922,2032,1846,3556,1425,3066,119,1095,3232,1332,2412,3105,2170,1276,3331,3626
3594,3413,1426,809,1094,3241,697,2832,2078,449,1097,63,201,1316,682,2551,2549,688,2609,591,1841,76,2248,671,292
