run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1002,1198,1236,471,303,166,1411,1647,746,1155,619,38,204,1605,1338,845,1175,108,885,1355,381,1168,705,572,811
1257,1616,905,600,860,412,794,1575,1149,454,489,550,1201,549,1196,889,1218,1648,1604,366,281,1364,217,380,934
379,1595,502,16,336,1051,168,359,453,1414,1178,369,948,287,1554,1079,906,919,446,1424,1193,1625,1387,1516,801
278,1475,790,4,1151,501,694,638,471,356,123,1399,1581,1243,1216,449,672,37,54,995,1430,278,40,34,1480
1154,1123,336,1465,1626,575,620,188,844,160,36,725,1505,957,1495,316,1274,226,1456,1109,1427,488,169,1163,894
414,1013,230,1544,1443,812,505,1002,472,493,633,333,1389,1397,62,42,902,1367,1047,661,130,961,822,1589,1455
1224,1551,1101,1533,57,1426,1219,278,117,516,1172,2,321,1364,620,1320,511,1573,702,1185,780,1546,110,195,344
1497,890,1551,157,840,1459,1179,984,1212,1235,37,1309,390,654,705,1121,242,458,337,1282,651,136,417,963,1478
1431,1104,354,31,87,292,1609,454,641,762,767,1460,790,473,749,822,356,1192,431,502,338,332,507,739,1260
554,91,1014,667,674,668,1533,809,1072,394,949,1579,248,405,1376,1274,468,79,1619,563,412,465,911,891,859
1012,203,573,178,772,1502,387,1017,474,805,1310,1370,173,310,654,66,95,1142,512,1045,1428,1356,808,7,393
75,650,1149,1569,1044,346,584,128,1026,750,623,1316,48,1309,864,1069,1483,584,456,130,1244,5,1457,528,1228
1082,718,513,634,1264,799,574,396,243,463,1548,998,1518,566,292,1260,1590,571,549,1456,1026,1334,832,106,642
504,211,1024,820,506,871,225,292,151,1071,120,1226,896,1242,776,1180,1099,590,922,538,1169,697,1475,1343,657
1124,412,1006,744,474,941,493,1382,1185,126,1601,798,1347,348,1087,1088,880,369,808,408,556,960,692,101,514
273,989,1199,957,454,407,122,1141,407,483,1214,348,1543,1146,323,346,13,1471,722,536,241,569,1076,594,1595
1357,1434,991,720,394,352,421,365,1053,977,418,713,1438,770,511,1540,738,1211,1645,1134,689,1342,1449,1236,1178
839,1423,850,649,641,1241,1552,362,82,768,749,302,1629,39,541,744,1142,947,870,294,1283,870,1308,889,1280
261,93,852,745,564,1006,1651,1442,1599,1317,412,1521,1497,1217,1532,1476,503,769,1046,951,1112,620,384,57,1438
522,601,85,1579,905,61,572,19,320,279,1149,1438,918,683,146,1211,1345,503,697,613,1327,1351,100,540,1109
925,461,843,140,882,539,980,1598,1407,83,1501,316,1638,477,1179,1064,1486,1506,23,1015,1563,867,714,263,951
602,1338,51,1142,370,1362,978,166,1490,907,557,804,60,37,911,968,1189,1074,1585,51,1088,1618,553,945,1092
1185,1266,767,1650,1623,571,92,1653,314,945,523,557,804,1151,828,293,362,334,958,916,1047,1108,967,296,1110
387,268,22,796,1483,211,906,317,909,648,801,1400,1599,139,506,372,92,315,1243,1301,1097,380,1557,1231,345
851,185,373,851,253,1438,733,1105,1101,1481,1085,424,927,872,422,20,154,652,325,1351,1604,1279,760,923,1330
675,60,1527,370,37,1045,244,1144,1612,901,793,262,56,915,1270,621,961,317,799,1125,1216,208,1016,885,1346
1314,683,283,199,1027,469,527,1573,1298,870,1626,766,29,1334,1078,931,1000,489,1007,1617,640,1570,198,1213,909
151,1399,584,392,1642,36,938,1274,245,299,444,944,574,26,181,912,1163,1034,787,1648,1306,842,508,584,1582
1624,864,1355,272,841,526,1327,1400,929,112,1282,909,737,1582,411,1231,1030,1125,153,1609,840,1414,1416,1164,1619
1267,678,473,83,127,54,485,658,1133,250,924,720,1392,497,575,495,1299,118,1018,323,906,94,1100,644,1485
654,488,281,441,676,1391,1513,41,1097,65,1211,882,1471,701,1539,117,98,1381,1327,1111,671,151,758,1245,204
920,444,350,651,1110,542,1379,665,148,961,435,1033,1308,556,1201,335,1174,1184,733,363,563,462,286,361,1249
1117,1618,275,1212,1515,943,300,111,381,944,371,180,1567,224,1162,1301,539,569,882,1225,1032,1447,280,1349,447
299,1543,788,45,925,148,156,1379,31,374,1132,606,1024,937,367,320,111,1326,731,282,1219,856,1373,97,1174
