run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1567,2016,1172,4074,3960,4065,194,2178,420,1229,2040,2011,2944,1710,1772,4067,2931,1654,419,2575,913,2603,4057,3615,133
683,4118,3151,3444,3760,2803,2877,3694,859,1260,1776,1228,2905,1615,740,2480,1825,3450,31,3150,2163,1489,4349,429,1328
117,219,3475,2973,1741,3964,352,3831,3075,3392,1727,1045,2152,1286,1236,4255,3195,2637,3889,3976,3819,582,902,3709,1244
1581,4402,674,456,3910,2518,4272,2447,1082,1862,2163,829,493,2378,4152,765,2125,1137,1396,3090,834,2078,1830,1430,1757
3861,787,3815,685,2979,758,2236,3644,1732,2456,274,65,2456,1605,2100,794,97,3681,1122,3064,1745,4358,312,2122,1326
2550,200,2444,877,581,4407,1383,1911,3519,3765,1041,950,3294,728,4317,3395,1247,3292,3857,1678,381,950,272,1843,2225
690,2539,4118,1212,1645,3318,2107,1460,3246,4112,4361,2809,2699,3257,1115,1781,1390,4217,1132,494,865,2430,1693,786,3405
4080,3744,1347,4397,1958,4174,2262,3939,702,3023,3844,3522,3296,171,1172,4041,3694,4398,1321,2636,3034,1910,1624,354,623
1062,1891,118,1127,133,1400,2227,2063,1870,4331,2643,1201,3919,2108,1230,4322,894,3862,3285,1328,1608,721,1046,2294,2919
2459,3963,1622,22,2512,2982,4129,2124,2816,2163,1455,3728,570,1782,2898,4018,1121,1710,2550,1853,1302,4327,1448,1447,638
2756,2810,3975,630,3183,3970,2858,239,1296,4379,50,3086,320,548,2793,1805,3527,3035,3195,3752,3816,4005,2708,3941,4263
2478,2689,519,383,3691,3262,3078,1125,359,4203,2630,2071,4299,2788,433,315,1028,3383,2192,3501,2555,2348,3614,4408,2236
3630,901,785,2490,4274,2340,754,4019,4202,2922,4185,332,3916,4376,2963,3189,3722,3811,2850,561,3297,2886,2291,2934,2005
136,3447,4260,3488,739,2264,3948,3464,1227,645,1384,150,606,4014,428,4148,1611,2237,2137,4100,4202,2538,642,2098,3194
