run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
461.0,572.0,1486.0,485.0,158.0,591.0,24.0,474.0,1245.0,1478.0,810.0,70.0,1137.0,1322.0,148.0,683.0,1235.0,1156.0,726.0,1414.0,1106.0,1419.0,329.0,810.0,821.0
1126.0,983.0,1396.0,16.0,661.0,1103.0,892.0,185.0,978.0,346.0,722.0,647.0,314.0,1355.0,659.0,920.0,90.0,839.0,417.0,759.0,698.0,890.0,1438.0,87.0,143.0
34.0,782.0,1497.0,578.0,880.0,1310.0,1394.0,43.0,1294.0,160.0,1235.0,616.0,922.0,1178.0,199.0,103.0,58.0,878.0,316.0,1350.0,669.0,230.0,750.0,1328.0,936.0
491.0,536.0,387.0,140.0,534.0,1415.0,436.0,1044.0,529.0,281.0,97.0,1038.0,1220.0,1384.0,1019.0,350.0,588.0,734.0,1049.0,1173.0,631.0,41.0,338.0,1483.0,292.0
9.0,1143.0,457.0,854.0,649.0,269.0,754.0,60.0,243.0,557.0,1445.0,363.0,897.0,5.0,3.0,497.0,1267.0,1403.0,926.0,1460.0,1114.0,1193.0,95.0,25.0,1468.0
982.0,309.0,1137.0,1370.0,406.0,805.0,1458.0,915.0,117.0,970.0,143.0,751.0,610.0,656.0,869.0,218.0,1075.0,865.0,129.0,299.0,496.0,542.0,120.0,1137.0,627.0
425.0,1364.0,653.0,1187.0,759.0,663.0,988.0,530.0,337.0,289.0,668.0,430.0,1390.0,501.0,754.0,1085.0,1394.0,216.0,1206.0,851.0,1175.0,944.0,623.0,559.0,727.0
1379.0,248.0,1216.0,194.0,571.0,988.0,1139.0,409.0,1063.0,669.0,348.0,773.0,639.0,435.0,1364.0,504.0,873.0,1199.0,1292.0,1205.0,1255.0,1015.0,250.0,1345.0,1431.0
315.0,181.0,1344.0,1451.0,1200.0,857.0,847.0,707.0,421.0,1432.0,1339.0,1117.0,1229.0,877.0,1126.0,44.0,106.0,358.0,1468.0,466.0,877.0,131.0,1384.0,686.0,937.0
303.0,91.0,14.0,1385.0,401.0,978.0,571.0,363.0,427.0,1397.0,1472.0,828.0,10.0,306.0,1276.0,735.0,890.0,958.0,832.0,1250.0,130.0,1199.0,882.0,736.0,307.0
1333.0,1408.0,747.0,974.0,1474.0,1332.0,711.0,1446.0,440.0,1480.0,473.0,358.0,772.0,659.0,711.0,1299.0,761.0,395.0,1360.0,247.0,610.0,1312.0,1441.0,1342.0,1419.0
711.0,1318.0,809.0,682.0,1228.0,700.0,713.0,299.0,828.0,1476.0,921.0,588.0,1312.0,657.0,803.0,1428.0,763.0,882.0,1471.0,909.0,126.0,983.0,1442.0,370.0,1210.0
713.0,1319.0,1149.0,473.0,1201.0,716.0,803.0,1348.0,175.0,1486.0,772.0,1441.0,341.0,383.0,713.0,1209.0,357.0,1441.0,1472.0,1441.0,1221.0,921.0,1455.0,883.0,1223.0
48.0,200.0,477.0,203.0,1483.0,759.0,78.0,1149.0,531.0,811.0,80.0,1437.0,473.0,384.0,48.0,1224.0,419.0,1442.0,558.0,395.0,529.0,897.0,864.0,1453.0,893.0
78.0,1430.0,476.0,201.0,1501.0,760.0,9.0,991.0,1289.0,1360.0,683.0,453.0,505.0,645.0,78.0,1256.0,762.0,1455.0,1486.0,672.0,1311.0,772.0,1499.0,1209.0,1424.0
754.0,790.0,855.0,1226.0,1485.0,977.0,48.0,971.0,172.0,1372.0,341.0,490.0,80.0,1258.0,461.0,693.0,1044.0,1499.0,1501.0,1392.0,1310.0,683.0,1437.0,509.0,1351.0
803.0,339.0,347.0,251.0,1482.0,1045.0,461.0,970.0,410.0,1206.0,1226.0,1442.0,921.0,561.0,144.0,696.0,764.0,362.0,1481.0,864.0,516.0,1339.0,395.0,218.0,1350.0
