run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1054.0,213.0,1030.0,580.0,681.0,531.0,822.0,1090.0,1214.0,706.0,87.0,909.0,416.0,445.0,583.0,1234.0,1039.0,611.0,267.0,484.0,531.0,1236.0,658.0,446.0,968.0
870.0,218.0,254.0,388.0,869.0,1339.0,1325.0,1226.0,1443.0,941.0,254.0,1035.0,473.0,897.0,218.0,218.0,1256.0,254.0,303.0,772.0,254.0,1342.0,153.0,772.0,146.0
1413.0,1467.0,1467.0,67.0,1180.0,1346.0,1348.0,680.0,76.0,1314.0,1413.0,1180.0,147.0,344.0,477.0,76.0,1414.0,147.0,1448.0,348.0,731.0,1314.0,858.0,1492.0,1413.0
687.0,1459.0,269.0,1.0,1383.0,1201.0,295.0,687.0,1451.0,1501.0,1167.0,199.0,1410.0,1072.0,752.0,1228.0,1332.0,1501.0,671.0,520.0,1459.0,50.0,1075.0,358.0,933.0
1350.0,1127.0,462.0,1480.0,528.0,449.0,15.0,1148.0,1053.0,705.0,698.0,937.0,1373.0,1282.0,1341.0,904.0,1375.0,1275.0,1396.0,928.0,1490.0,210.0,515.0,1251.0,848.0
1255.0,818.0,624.0,920.0,1273.0,35.0,483.0,969.0,293.0,406.0,998.0,451.0,1255.0,992.0,620.0,995.0,266.0,1097.0,979.0,410.0,451.0,662.0,850.0,1288.0,813.0
207.0,1390.0,183.0,1300.0,867.0,1189.0,1358.0,1024.0,1126.0,428.0,551.0,454.0,1353.0,1060.0,550.0,1268.0,370.0,428.0,383.0,1014.0,645.0,649.0,385.0,659.0,1390.0
1500.0,1124.0,763.0,780.0,286.0,716.0,1031.0,357.0,887.0,896.0,249.0,886.0,886.0,712.0,313.0,1426.0,746.0,759.0,106.0,639.0,779.0,1067.0,357.0,704.0,69.0
971.0,713.0,1334.0,185.0,1418.0,1333.0,1194.0,1149.0,185.0,1433.0,144.0,1335.0,1043.0,48.0,713.0,971.0,754.0,79.0,971.0,1376.0,971.0,1376.0,1191.0,105.0,1377.0
1505.0,793.0,493.0,925.0,625.0,1264.0,1489.0,456.0,960.0,1497.0,0.0,274.0,307.0,1078.0,392.0,677.0,647.0,246.0,629.0,834.0,1323.0,1497.0,560.0,736.0,511.0
1507.0,1209.0,897.0,1352.0,696.0,1012.0,921.0,939.0,1313.0,660.0,341.0,1256.0,153.0,1012.0,219.0,799.0,974.0,1165.0,1044.0,1387.0,108.0,799.0,1336.0,1442.0,940.0
11.0,219.0,993.0,1486.0,1256.0,799.0,1034.0,203.0,1338.0,1012.0,375.0,696.0,375.0,153.0,1299.0,1012.0,194.0,153.0,1313.0,799.0,173.0,1165.0,711.0,1437.0,141.0
1440.0,1224.0,375.0,1478.0,153.0,183.0,153.0,1012.0,924.0,799.0,710.0,1012.0,1012.0,1226.0,1209.0,1209.0,203.0,1474.0,764.0,1165.0,1272.0,183.0,1208.0,799.0,205.0
1460.0,1299.0,1226.0,134.0,194.0,153.0,719.0,921.0,762.0,1165.0,1333.0,799.0,939.0,1256.0,1256.0,219.0,153.0,799.0,1338.0,1012.0,657.0,660.0,1317.0,1460.0,1012.0
1508.0,1256.0,310.0,1372.0,1012.0,1165.0,801.0,153.0,888.0,183.0,754.0,153.0,80.0,941.0,1224.0,1299.0,113.0,183.0,419.0,1418.0,1370.0,1012.0,754.0,1365.0,55.0
696.0,696.0,1165.0,57.0,682.0,189.0,826.0,975.0,1044.0,1010.0,1226.0,531.0,975.0,939.0,696.0,1342.0,83.0,1226.0,762.0,1377.0,852.0,371.0,1335.0,882.0,183.0
460.0,1342.0,341.0,1141.0,974.0,941.0,841.0,80.0,106.0,1306.0,1256.0,1059.0,921.0,696.0,1342.0,1224.0,1193.0,1012.0,357.0,1433.0,616.0,1010.0,242.0,183.0,921.0
1256.0,1259.0,1312.0,414.0,341.0,921.0,1330.0,194.0,357.0,1138.0,803.0,1224.0,203.0,1312.0,153.0,696.0,682.0,1483.0,887.0,1449.0,384.0,1306.0,1012.0,1012.0,153.0
185.0,341.0,331.0,1476.0,1429.0,203.0,1329.0,473.0,419.0,918.0,9.0,682.0,1226.0,189.0,341.0,1256.0,696.0,1050.0,763.0,183.0,1190.0,619.0,1193.0,1441.0,799.0
1012.0,1453.0,975.0,970.0,975.0,1226.0,1012.0,1256.0,764.0,718.0,461.0,219.0,974.0,341.0,1012.0,1453.0,803.0,1484.0,341.0,1416.0,1362.0,947.0,141.0,1094.0,899.0
974.0,,1012.0,866.0,80.0,194.0,80.0,1339.0,1352.0,398.0,1012.0,,1256.0,974.0,,,1226.0,194.0,799.0,1460.0,799.0,190.0,682.0,395.0,682.0
194.0,,203.0,597.0,1226.0,341.0,1226.0,205.0,1289.0,1495.0,153.0,,1339.0,194.0,,,201.0,203.0,1012.0,153.0,696.0,1387.0,194.0,672.0,341.0
153.0,,153.0,1495.0,201.0,80.0,201.0,682.0,531.0,540.0,80.0,,682.0,473.0,,,1050.0,682.0,1460.0,865.0,183.0,1449.0,1256.0,1499.0,201.0
682.0,,505.0,398.0,203.0,1256.0,203.0,341.0,1059.0,1481.0,682.0,,683.0,682.0,,,921.0,974.0,1449.0,1256.0,1012.0,1418.0,974.0,1455.0,203.0
341.0,,194.0,1481.0,939.0,682.0,974.0,505.0,1012.0,153.0,203.0,,505.0,80.0,,,660.0,939.0,153.0,375.0,853.0,1377.0,203.0,863.0,939.0
540.0,,80.0,1475.0,473.0,939.0,975.0,201.0,57.0,1474.0,939.0,,201.0,505.0,,,975.0,921.0,460.0,1339.0,131.0,1416.0,201.0,1258.0,974.0
939.0,,939.0,864.0,505.0,974.0,939.0,204.0,1050.0,1475.0,473.0,,941.0,203.0,,,941.0,975.0,194.0,189.0,310.0,153.0,710.0,851.0,975.0
975.0,,683.0,672.0,683.0,975.0,194.0,974.0,829.0,1483.0,975.0,,254.0,975.0,,,1012.0,473.0,540.0,696.0,370.0,1433.0,941.0,929.0,1256.0
203.0,,55.0,396.0,801.0,473.0,473.0,683.0,134.0,257.0,974.0,,194.0,302.0,,,939.0,80.0,924.0,190.0,1449.0,1259.0,1226.0,384.0,1339.0
921.0,,473.0,1484.0,921.0,201.0,1256.0,375.0,763.0,1484.0,201.0,,341.0,201.0,,,505.0,1256.0,189.0,841.0,1165.0,1388.0,975.0,1338.0,194.0
80.0,,921.0,882.0,302.0,1312.0,505.0,1312.0,194.0,1200.0,683.0,,189.0,375.0,,,80.0,1339.0,682.0,1226.0,219.0,189.0,939.0,1062.0,683.0
683.0,,682.0,395.0,1339.0,683.0,204.0,897.0,940.0,1493.0,505.0,,1429.0,683.0,,,473.0,505.0,1256.0,682.0,941.0,897.0,505.0,597.0,302.0
1226.0,,1256.0,863.0,375.0,897.0,341.0,1324.0,761.0,190.0,941.0,,1312.0,1339.0,,,683.0,375.0,974.0,341.0,301.0,841.0,80.0,1422.0,1226.0
473.0,,301.0,821.0,254.0,254.0,375.0,55.0,153.0,1228.0,302.0,,302.0,254.0,,,375.0,897.0,201.0,921.0,354.0,540.0,254.0,864.0,505.0
505.0,,974.0,851.0,941.0,375.0,683.0,940.0,799.0,396.0,194.0,,897.0,921.0,,,341.0,1312.0,203.0,975.0,1209.0,1434.0,375.0,866.0,941.0
1339.0,,201.0,1411.0,897.0,302.0,941.0,254.0,203.0,1449.0,921.0,,190.0,204.0,,,254.0,941.0,1226.0,203.0,993.0,1256.0,473.0,397.0,80.0
302.0,,941.0,1442.0,1312.0,505.0,254.0,941.0,55.0,1256.0,1339.0,,205.0,205.0,,,302.0,683.0,80.0,80.0,540.0,1326.0,302.0,247.0,473.0
201.0,,1339.0,559.0,204.0,1429.0,205.0,302.0,201.0,696.0,1429.0,,55.0,321.0,,,204.0,341.0,473.0,473.0,218.0,826.0,683.0,1495.0,1312.0
941.0,,302.0,1069.0,205.0,141.0,1339.0,321.0,974.0,1050.0,1312.0,,940.0,141.0,,,1339.0,204.0,505.0,939.0,1299.0,941.0,921.0,340.0,897.0
1027.0,,205.0,170.0,189.0,204.0,302.0,1429.0,941.0,932.0,204.0,,204.0,940.0,,,1312.0,201.0,1064.0,204.0,1324.0,719.0,301.0,346.0,1324.0
189.0,,1429.0,1437.0,940.0,205.0,682.0,696.0,939.0,921.0,940.0,,1434.0,1324.0,,,205.0,205.0,941.0,897.0,,696.0,205.0,1116.0,321.0
897.0,,940.0,358.0,899.0,898.0,940.0,189.0,80.0,1428.0,711.0,,696.0,801.0,,,1324.0,1493.0,683.0,194.0,,1226.0,1312.0,339.0,375.0
375.0,,869.0,1455.0,28.0,1331.0,899.0,1453.0,921.0,189.0,1324.0,,1453.0,899.0,,,1429.0,396.0,975.0,505.0,,974.0,341.0,1075.0,801.0
1312.0,,189.0,1441.0,720.0,1326.0,1429.0,801.0,341.0,682.0,205.0,,257.0,869.0,,,189.0,321.0,921.0,201.0,,939.0,1339.0,1044.0,189.0
205.0,,354.0,247.0,82.0,940.0,1324.0,899.0,473.0,1453.0,105.0,,801.0,540.0,,,55.0,940.0,939.0,254.0,,682.0,1429.0,1319.0,1429.0
146.0,,204.0,1470.0,1453.0,841.0,897.0,1033.0,975.0,720.0,146.0,,1326.0,55.0,,,869.0,1200.0,204.0,974.0,,194.0,204.0,1452.0,204.0
1434.0,,696.0,818.0,55.0,842.0,55.0,1434.0,505.0,974.0,897.0,,1324.0,1429.0,,,321.0,302.0,375.0,302.0,,203.0,897.0,419.0,696.0
1324.0,,899.0,1228.0,1342.0,1434.0,1312.0,303.0,682.0,1345.0,899.0,,898.0,1453.0,,,1453.0,1429.0,940.0,683.0,,975.0,940.0,1313.0,1325.0
899.0,,1324.0,21.0,83.0,257.0,321.0,898.0,204.0,370.0,189.0,,841.0,219.0,,,897.0,1481.0,302.0,941.0,,80.0,461.0,34.0,254.0
898.0,,146.0,1493.0,219.0,801.0,189.0,146.0,1339.0,1429.0,801.0,,1033.0,218.0,,,219.0,1228.0,205.0,1312.0,,204.0,1324.0,790.0,1033.0
374.0,,801.0,1452.0,,105.0,842.0,1428.0,375.0,1312.0,1191.0,,563.0,,,,,1453.0,696.0,1169.0,,201.0,321.0,1318.0,1453.0
861.0,,303.0,340.0,,1334.0,303.0,540.0,1226.0,1339.0,1165.0,,899.0,,,,,189.0,1312.0,899.0,,921.0,551.0,1430.0,540.0
141.0,,898.0,799.0,,1194.0,146.0,1299.0,1256.0,897.0,55.0,,540.0,,,,,1325.0,1429.0,1453.0,,683.0,55.0,1408.0,720.0
83.0,,1326.0,1075.0,,55.0,696.0,218.0,683.0,939.0,321.0,,321.0,,,,,1329.0,1339.0,1429.0,,473.0,671.0,200.0,303.0
