targets,mean_queries,std_queries,max_queries,min_queries,rand_queries
7.0,1.84,1.0461357464497618,4.0,1.0,2.2493573264781492
7.1,1.92,1.0552724766618333,4.0,1.0,2.2786458333333335
7.2,2.04,1.1128342194594847,4.0,1.0,2.339572192513369
7.3,2.04,1.1128342194594847,4.0,1.0,2.400548696844993
7.4,2.04,1.1128342194594847,4.0,1.0,2.433936022253129
7.5,2.04,1.1128342194594847,4.0,1.0,2.482269503546099
7.6,2.04,1.1128342194594847,4.0,1.0,2.5510204081632653
7.7,2.04,1.1128342194594847,4.0,1.0,2.6041666666666665
7.8,2.16,1.2547509713086495,5.0,1.0,2.675840978593272
7.9,2.16,1.2547509713086495,5.0,1.0,2.7386541471048513
8.0,2.16,1.2547509713086495,5.0,1.0,2.7821939586645468
8.1,2.16,1.2547509713086495,5.0,1.0,2.8548123980424145
8.2,2.24,1.4221111067704941,6.0,1.0,2.8973509933774833
8.3,2.52,1.7915356541246954,8.0,1.0,2.956081081081081
8.4,2.56,1.7681628884240275,8.0,1.0,3.0381944444444446
8.5,2.76,1.9652989594461194,8.0,1.0,3.1531531531531534
8.6,2.88,2.1784398086704164,8.0,1.0,3.3081285444234405
8.7,2.92,2.1894291493446416,8.0,1.0,3.593429158110883
8.8,3.56,2.4507957891264622,8.0,1.0,3.977272727272727
8.9,3.72,2.6003076741032007,8.0,1.0,4.3424317617866
9.0,4.32,2.989581910568767,12.0,1.0,4.985754985754986
9.1,5.16,3.3187949620306463,13.0,1.0,6.18374558303887
9.2,6.4,5.2306787322488075,26.0,1.0,8.064516129032258
9.3,9.2,9.00666419935816,43.0,1.0,10.115606936416185
9.4,17.32,24.00453290526604,109.0,1.0,12.681159420289855
9.5,19.56,27.008265401539585,127.0,1.0,15.486725663716815
9.6,23.56,35.21258865803535,140.0,1.0,19.886363636363637
9.7,29.08,40.764612104127764,157.0,1.0,29.166666666666668
9.8,38.56,55.21382435586218,240.0,1.0,44.87179487179487
9.9,43.52,54.862825300926666,240.0,1.0,67.3076923076923
10.0,45.24,54.60716436512704,240.0,1.0,76.08695652173913
10.1,66.36,71.25103788717747,283.0,2.0,145.83333333333334
10.2,67.44,71.6413735211714,288.0,2.0,218.75
10.3,99.96,85.02398720361214,328.0,13.0,350.0
10.3767507096021,116.6,82.89125406217474,344.0,20.0,875.0
