run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
1147.0,1059.0,1084.0,935.0,1152.0,1168.0,714.0,1153.0,617.0,1160.0,707.0,948.0,960.0,1154.0,716.0,716.0,1106.0,761.0,1109.0,1084.0,761.0,1162.0,610.0,1084.0,1020.0
133.0,817.0,38.0,867.0,653.0,353.0,679.0,648.0,414.0,158.0,376.0,632.0,881.0,217.0,867.0,405.0,823.0,828.0,1203.0,50.0,769.0,939.0,251.0,82.0,633.0
546.0,915.0,1124.0,612.0,594.0,933.0,1064.0,977.0,946.0,970.0,1074.0,933.0,611.0,933.0,1088.0,546.0,692.0,1124.0,692.0,908.0,993.0,1064.0,902.0,1124.0,974.0
338.0,352.0,352.0,4.0,549.0,363.0,564.0,338.0,549.0,665.0,78.0,483.0,16.0,519.0,847.0,847.0,335.0,122.0,337.0,858.0,736.0,519.0,779.0,483.0,773.0
882.0,1184.0,162.0,149.0,681.0,55.0,959.0,882.0,386.0,486.0,485.0,628.0,565.0,1116.0,1185.0,670.0,1091.0,264.0,55.0,487.0,563.0,559.0,85.0,346.0,1193.0
347.0,995.0,750.0,470.0,972.0,1089.0,1000.0,1058.0,1122.0,527.0,1134.0,903.0,799.0,953.0,1008.0,1175.0,958.0,958.0,558.0,904.0,527.0,1127.0,791.0,1054.0,59.0
844.0,569.0,593.0,1009.0,1035.0,1118.0,1118.0,1066.0,1082.0,1043.0,927.0,689.0,900.0,1022.0,1096.0,1027.0,942.0,990.0,699.0,900.0,967.0,1126.0,990.0,918.0,568.0
911.0,1135.0,911.0,1093.0,1079.0,1097.0,1079.0,1129.0,793.0,1097.0,1079.0,1123.0,793.0,1024.0,1053.0,1125.0,971.0,971.0,989.0,911.0,792.0,1123.0,911.0,936.0,1135.0
640.0,824.0,778.0,474.0,809.0,574.0,116.0,529.0,1144.0,661.0,560.0,601.0,797.0,1144.0,543.0,428.0,662.0,725.0,818.0,212.0,661.0,816.0,662.0,214.0,276.0
305.0,518.0,344.0,451.0,377.0,1107.0,266.0,262.0,647.0,446.0,421.0,261.0,492.0,263.0,109.0,663.0,518.0,28.0,503.0,361.0,1182.0,455.0,476.0,456.0,456.0
610.0,933.0,993.0,908.0,1129.0,979.0,715.0,1099.0,792.0,1053.0,1088.0,979.0,792.0,912.0,1021.0,914.0,931.0,993.0,792.0,1023.0,908.0,1135.0,908.0,993.0,1074.0
