run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
744,869,2098,2477,424,857,254,1001,6,2991,1552,1239,2158,1557,1221,348,1652,728,2693,2499,424,3001,2515,585,2165
2480,1100,517,2512,290,1323,1308,1110,2516,1142,712,2728,1400,860,22,1423,6,2689,1698,54,1353,1119,3122,1106,1124
1124,114,468,2470,1288,370,398,1400,643,1719,3109,3188,1133,459,2705,2882,1212,2087,1599,2526,1025,397,1698,943,2605
2477,1662,843,135,2629,423,3401,2087,1355,3263,54,995,2470,281,2522,459,2705,1666,1122,1162,370,521,2725,128,3400
54,1606,61,2311,1119,450,723,1599,226,1305,2689,1663,2512,1663,1542,3221,724,1109,995,417,1472,413,3401,1518,1363
2621,3393,1652,1166,2605,3001,1648,2817,1244,1560,2607,1321,2473,1017,2470,218,2522,1321,1663,1639,1556,1359,1666,2512,1400
1661,984,1552,1656,1166,1670,264,3397,2493,943,995,1127,3147,122,1124,430,1472,721,264,1318,2239,419,1065,1589,1256
397,1212,1343,2626,128,3397,1266,440,1671,275,1302,1568,1106,1129,757,648,2631,2469,2067,1305,1581,2272,2607,1698,1122
1559,735,1212,723,2728,1126,1355,2626,348,2482,430,1403,1239,1516,1482,468,610,1672,1601,1666,1417,1559,1649,1014,430
313,1340,1359,1606,860,394,3392,1026,1105,2520,1166,1196,1142,1106,1518,2689,404,1538,1656,423,126,3030,307,228,1656
3301,2813,940,2709,84,1925,2466,3275,2360,386,2393,1356,2562,2715,1758,2006,1409,664,3396,983,3392,751,1457,327,2148
2877,1749,2650,1911,1763,2280,3316,3192,257,1873,1234,520,297,495,1278,1942,1475,1927,686,1940,313,1287,1267,2708,3389
742,852,497,3067,97,2133,54,2191,2207,2338,2122,59,1422,3236,587,630,1344,320,2452,1239,2522,1433,631,2423,3366
878,363,1813,281,2794,3267,2886,1792,2593,483,673,2950,1049,1410,529,2020,1426,3272,1919,8,89,3015,3198,3418,3045
791,105,2494,2826,1069,2993,39,3167,421,1265,1344,1161,1409,935,1756,2232,62,1296,1771,3167,1684,769,3163,313,2866
1322,36,197,90,1956,239,693,3400,1951,2207,1240,2951,3056,2115,834,612,2534,3165,49,2190,2480,492,952,203,2534
440,3199,2806,88,1385,1678,591,2493,1257,2033,2404,2311,107,121,1331,1294,89,3309,1604,313,1017,609,50,581,1239
1859,1177,2331,1378,2849,2375,3339,3389,531,2494,467,3012,18,402,2579,795,1266,1688,2263,1926,3181,3306,3394,672,2481
1542,1192,1835,1599,1597,1653,1561,3111,1902,172,2445,2450,417,2184,216,2493,345,2316,1410,581,2866,1278,567,2190,3111
1028,3205,2531,1415,343,272,3060,3366,47,1685,2115,1134,3250,2772,191,1268,1335,2735,2505,672,2272,1329,166,371,1575
2852,2682,3307,279,275,732,735,2275,25,2130,1901,1955,3077,2882,992,1616,468,2624,2674,371,2421,1451,3083,1752,2603
949,2276,538,3231,3349,922,1409,1239,2387,2663,589,282,208,1524,2561,196,1312,2021,768,3113,2468,288,1758,3113,2067
2924,808,3312,1393,1641,577,2352,3207,1957,2779,15,1516,913,1388,1798,2154,1284,1746,2736,1752,2534,3283,2745,2941,308
453,340,1371,779,1176,376,2144,260,431,936,982,1207,989,61,1297,1598,898,1443,2498,2941,513,1156,3412,1307,200
1527,776,1177,1347,610,1388,3269,2603,1213,2694,855,210,697,2561,2707,492,2493,3086,2484,1017,1106,1430,2283,1622,723
3149,216,1420,885,1122,2299,965,1575,2634,672,2103,418,1301,1045,3304,2318,1260,2505,691,3418,927,177,2711,670,1086
824,2161,941,2674,82,3197,338,2906,3185,2285,1478,3043,2781,1940,770,1436,843,2749,2586,742,445,3285,659,1197,2881
3192,3262,575,9,1501,1991,2280,2866,1656,2854,893,850,1527,3111,3037,1785,3181,2607,1684,430,2935,1121,1086,742,1129
2126,627,645,1735,2926,1827,2620,1259,300,2591,1084,2613,65,346,2392,1319,595,966,2542,2146,1698,2654,698,1312,367
2404,3403,1583,2775,1189,813,177,723,814,1854,2813,95,2705,258,2630,2064,375,1492,2133,405,2481,1593,1381,1581,2387
1708,859,695,85,1650,2234,2653,200,517,2166,910,1742,2129,306,857,1108,2862,592,782,2157,1476,2144,2514,3392,1344
1678,2869,2256,1201,1333,67,668,135,371,708,2013,1388,2711,2151,972,313,254,3036,2434,2534,1330,1807,113,2522,1106
